time;x;y;z;absolute
0.002471417;-1.447190552;-1.64747406;9.463470612;9.714206467
0.012471417;-1.293310547;-1.532363434;9.397457886;9.60900643
0.022472417;-1.389111328;-1.59478363;9.533225555;9.765006636
0.032472417;-1.55391861;-1.734592896;9.55957077;9.839149804
0.042472417;-1.614841919;-1.84401535;9.628427582;9.935528407
0.052473417;-1.692829742;-1.949545898;9.710756378;10.04814367
0.062473417;-1.627864838;-2.076032867;9.698481903;10.05089089
0.072473417;-1.545536041;-1.968556366;9.707313538;10.02476094
0.082474417;-1.57607254;-1.861528931;9.658215637;9.961446878
0.092474417;-1.519490204;-1.767225037;9.617200928;9.89557924
0.102474417;-1.493743744;-1.752106476;9.573342133;9.846320483
0.112475417;-1.513203278;-1.781894531;9.57364151;9.854924862
0.122475417;-1.503024445;-1.825154572;9.604926453;9.891657285
0.132475417;-1.517095184;-1.867815857;9.632469177;9.928483083
0.142476417;-1.515747986;-1.873953094;9.648186493;9.944681732
0.152476417;-1.510209503;-1.848056946;9.643246765;9.934196263
0.162476417;-1.520388336;-1.785636749;9.635313263;9.916619432
0.172477417;-1.531914368;-1.765578461;9.618847504;9.898800747
0.182477417;-1.562151489;-1.791474609;9.622440033;9.91166236
0.192477417;-1.575922852;-1.832489319;9.636660461;9.935128323
0.202478417;-1.588197327;-1.864373016;9.624984741;9.931696167
0.212478417;-1.581461334;-1.854194183;9.638307037;9.941630579
0.222478417;-1.573976898;-1.833387451;9.614356842;9.913353131
0.232479417;-1.567540283;-1.821412354;9.598938904;9.895168194
0.242479417;-1.553768921;-1.80659317;9.615853729;9.9066957
0.252479417;-1.549877014;-1.800605621;9.616602173;9.905722423
0.262480417;-1.555116119;-1.814077606;9.627080383;9.919170349
0.272480417;-1.561253357;-1.836231537;9.622440033;9.919708186
0.282480417;-1.566642151;-1.839075623;9.620045013;9.918761658
0.292481417;-1.568438416;-1.815574493;9.643246765;9.937228888
0.302481417;-1.562001801;-1.809586945;9.653575287;9.945148081
