time;x;y;z;absolute
0.005124958;-2.369572449;4.263134766;7.847131805;9.239408487
0.015123958;-2.30041626;4.462370453;8.001610565;9.446186356
0.025123958;-2.472258911;4.760849762;8.608149261;10.1428787
0.035123958;-2.560275879;4.994962921;9.033863983;10.63557077
0.045123583;-2.654430084;5.188660126;9.410181427;11.06886207
0.055123583;-2.867736511;5.12968277;9.671537933;11.31707577
0.065122583;-3.019670563;4.826712799;9.683812408;11.2335119
0.075122583;-3.010240173;4.527185669;9.69069809;11.11155189
0.085122583;-2.861599274;4.174369354;9.379794617;10.65807942
0.095122583;-2.616109772;3.903881836;8.964857483;10.12190661
0.105122583;-2.547103271;3.659739532;8.395441589;9.506043762
0.115121583;-3.30782135;2.620301056;8.433163147;9.430053042
0.125121583;-1.564696198;2.763403473;8.52522171;9.097476472
0.135121583;-1.541644135;3.307072906;8.208330688;8.982766308
0.145121583;-2.086062012;3.614982605;7.748636627;8.801200119
0.155120583;-1.498982849;3.839964752;7.867040405;8.8815879
0.165120583;-1.306632843;3.96076355;8.422086182;9.398216476
0.175120583;-1.730401611;3.912264404;8.771759033;9.759296032
0.185120583;-1.976340179;3.759731598;8.740773468;9.718159446
0.195120583;-2.070045319;3.357967072;8.599317627;9.460935161
0.205120583;-2.043400726;2.987038422;8.4152005;9.160430368
0.215119583;-1.759441223;2.813249817;7.933502197;8.599445625
0.225119583;-1.489253082;2.769840088;7.885003052;8.489002414
0.235119583;-1.483864288;2.739453278;8.195607147;8.767806681
0.245119583;-1.704206085;2.5812323;8.587043152;9.127123789
0.255118583;-1.808239746;2.364183655;9.177565155;9.648149953
0.265118583;-1.72007309;2.301913147;9.952054596;10.35861218
0.275118583;-1.983674927;2.254162445;10.52162018;10.94169574
0.285118583;-2.21853653;2.273322601;10.18107834;10.66509522
0.295118583;-2.024689636;2.464774475;9.336235199;9.866091882
0.305117583;-1.42982666;2.745141449;8.471483459;9.019214925
0.315117583;-1.151106262;2.991678772;8.198451233;8.80282853
0.325117583;-1.428778839;2.952610016;8.537795563;9.146216045
0.335117583;-1.791324921;2.570903778;8.934620361;9.468148299
0.345117583;-2.104324036;1.975591736;9.280850372;9.719327445
0.355116583;-2.346670074;1.244811401;8.652457123;9.051045803
0.365116583;-2.887345734;0.411344604;7.558082886;8.101270683
0.375116583;-1.01099762;0.657432861;8.13558197;8.224477378
0.385116583;1.451082458;1.73638916;8.446485443;8.744358407
0.395116583;3.160078583;2.872676239;8.058641968;9.120311167
0.405115583;3.281326447;3.2142659;8.045319672;9.264220266
0.415115583;4.605772247;4.654121704;9.708361359;11.71009253
0.425115583;4.153113556;6.135740662;11.03924377;13.29513327
0.435115583;2.372566223;5.86330719;11.06319397;12.74369266
0.445114583;1.078207855;4.597090302;10.12659164;11.17334461
0.455114583;0.456700287;3.875890045;8.968599701;9.780944708
0.465114583;0.730630646;4.02393219;7.627688141;8.654910617
0.475114583;1.569785614;4.39486084;6.616989899;8.097134308
0.485114583;2.205962677;4.595593414;6.822063446;8.516237422
0.495113583;1.970652008;4.238885193;7.504344635;8.84119932
0.505113583;1.08000412;3.581302643;8.218060455;9.029321966
0.515113583;0.060923309;2.943628693;9.239536285;9.697303352
0.525113583;-1.286873932;2.675835571;10.27538223;10.69577583
0.535113583;-3.430117035;2.582130432;9.972561951;10.85749015
0.545112583;-3.670666809;2.659818878;8.732241211;9.838722877
0.555112583;-1.231189728;3.213667145;8.942703552;9.582036917
0.565112583;0.638572083;3.78173584;10.34588562;11.03388642
0.575112583;3.121458893;4.880151672;16.80315765;17.77373042
0.585112583;2.376607819;4.987628174;11.68604874;12.92626917
0.595111583;-0.996477814;3.297492828;7.579937439;8.325976133
0.605111583;-0.993484039;1.982327728;8.083939362;8.382524045
0.615111583;0.140258331;3.141068115;8.264463959;8.842360874
0.625111583;-0.033380585;2.838098145;7.855514374;8.352545805
0.635110583;-0.544417877;1.703757019;7.120542755;7.341751013
0.645110583;-0.270936584;1.472937012;6.661148071;6.827433171
0.655110583;0.341889038;1.516646118;6.612948303;6.793245824
0.665110583;0.715063019;1.927242279;6.664590912;6.974406781
0.675110583;0.71955368;2.376607819;7.150330811;7.569230669
0.685109583;0.183069305;2.661615143;7.746391296;8.192941331
0.695109583;-0.294437714;2.786754913;8.23976532;8.703242444
0.705109583;-0.597257996;2.580483856;8.609945526;9.008150532
0.715109583;-1.53401001;1.366358643;8.070317688;8.327673759
0.725109583;-2.700234833;0.27497818;7.18311264;7.678801232
0.735108583;-1.612446899;2.099384308;7.910150757;8.341335892
0.745108583;0.87522995;2.482737122;7.57634491;8.020661648
0.755108583;1.39120697;2.395318909;6.724167023;7.272374554
0.765108583;-0.235011292;3.074905701;6.888375549;7.547184447
0.775108583;-1.554367676;3.21770874;7.415579224;8.231678057
0.785107583;-1.952689362;3.1147229;8.348738708;9.122276718
0.795107583;-1.757046204;3.133583679;8.913813629;9.610547927
0.805107583;-1.518292694;2.795137482;8.433911591;9.013815561
0.815107583;-1.565145264;2.27227478;7.379653931;7.878591531
0.825107583;-1.738634491;1.9083815;6.290818176;6.799938468
0.835106583;-1.951192474;1.724563751;5.280718689;5.88789114
0.845106583;-2.178270264;1.720522156;4.690645752;5.450432588
0.855106583;-2.641706543;2.2746698;4.797972565;5.930706272
0.865106583;-2.897374878;3.011587372;5.113965454;6.604323004
0.875105583;-2.87372406;3.279081116;5.072501678;6.688866587
0.885105583;-2.844385071;2.930755463;5.000202026;6.456150116
0.895105583;-2.711162109;2.161505127;4.857398987;5.967983689
0.905105583;-2.515818329;1.3748909;4.791236572;5.58351276
0.915105583;-2.480940857;0.910706177;5.511987762;6.112811331
0.925104583;-2.728526001;0.614921265;7.080126801;7.612567097
0.935104583;-3.337459717;0.075293427;8.577014008;9.203775081
0.945104583;-3.82499588;-0.667012939;9.557774506;10.3163246
0.955104583;-4.66280365;-1.479822693;9.788444824;10.94281797
0.965104583;-5.279970245;-1.954186249;9.246272278;10.82545522
0.975103583;-5.258265381;-2.349364471;8.375982056;10.16493697
0.985103583;-5.614823914;-2.931503906;7.443720703;9.773890763
0.995103583;-6.271508331;-3.219355316;6.694977722;9.722077561
1.005103583;-6.812633057;-2.807561646;6.648274841;9.92441081
1.015103583;-7.399263153;-1.56679184;7.798782349;10.86392829
1.025102583;-8.394842834;-0.479602661;9.488019562;12.67777268
1.035102583;-9.496851196;-0.290545807;10.9831105;14.52251066
1.045102458;-10.30322433;-0.770148468;11.76792847;15.65993936
1.055102458;-10.90796677;-1.434616699;11.73799072;16.08795482
1.065101458;-11.04717728;-1.783990173;10.9088649;15.62773432
1.075101458;-11.09088638;-1.79252243;9.326206055;14.60133613
1.085101458;-11.61389877;-1.263821869;7.812553711;14.05403451
1.095101458;-12.20741455;-0.01407074;7.486381989;14.32016352
1.105101458;-12.88924667;1.009500732;8.310717773;15.36944376
1.115100458;-13.68678818;1.394649811;9.383536835;16.65304724
1.125100458;-14.31084045;1.140478363;9.981094208;17.48493886
1.135100458;-14.90420654;0.401465149;10.03453308;17.97187806
1.145100458;-15.21241562;-0.299377441;9.632618866;18.00818042
1.155100458;-15.10883102;-0.171393585;8.675359497;17.4232033
1.165099458;-14.74912903;0.445473633;7.54116806;16.57119397
1.175099458;-14.39900711;0.556842041;6.724616089;15.90163326
1.185099458;-14.32521057;0.443976746;5.764662323;15.44798061
1.195099458;-14.62982712;0.288450165;4.688849487;15.36555741
1.205099458;-14.37775131;0.151634674;3.348536682;14.76331344
1.215098458;-13.68439316;-0.190404053;1.786983948;13.8018905
1.225098458;-13.0919252;-0.566422119;0.318088531;13.10803264
1.235098458;-12.66486328;-0.984802094;-0.691112823;12.72188013
1.245098458;-11.98108521;-1.28941864;-1.163231049;12.10628389
1.255098458;-11.45986908;-1.670675812;-1.126557312;11.63567309
1.265097458;-11.08100693;-2.013612671;-0.703087921;11.28439999
1.275097458;-10.87353836;-2.328557739;-0.180674286;11.1215404
1.285097458;-11.00601288;-2.427801361;0.243992615;11.27324582
1.295097458;-11.29835495;-2.293680267;0.605341187;11.54470579
1.305097458;-11.33697464;-2.124681702;1.068627777;11.5837486
1.315096458;-11.19357285;-2.046993256;1.224154358;11.44485947
1.325096458;-12.38270004;-4.968468018;-0.526455231;13.352681
1.335096458;-13.02381683;-6.595434723;0.377065887;14.60348393
1.345096458;-10.53000275;-3.131637726;-1.928140411;11.15373651
1.355096458;-10.80288528;-4.145180054;-5.96389801;13.01740864
1.365095458;-9.639953613;-5.457201691;-7.890391846;13.60029556
1.375095458;-6.075416107;-5.746400299;-9.265133057;12.48096502
1.385095458;-4.882696381;-5.142705688;-8.75454483;11.26633041
1.395095458;-5.501509552;-5.836812286;-6.53136795;10.34377844
1.405095458;-7.04045929;-6.725214844;-4.747826843;10.83228699
1.415094458;-8.101153564;-6.948999481;-3.113974457;11.11818869
1.425094458;-8.675958252;-6.751709747;-1.574575653;11.10572486
1.435094458;-9.219028931;-6.401138763;-0.493074646;11.23424205
1.445094458;-9.403595123;-5.960155792;0.094453583;11.13373162
1.455093458;-9.625733185;-5.742209015;0.517324219;11.22030873
1.465093458;-9.264234924;-5.843099213;0.694256287;10.97496464
1.475093458;-8.665929108;-5.912105713;0.750389557;10.51733834
1.485093458;-8.416547699;-6.105653229;0.557590485;10.41288546
1.495093458;-8.223898315;-6.184688873;0.215851135;10.29220441
1.505092458;-7.854316864;-6.267616425;0.096399536;10.04901
1.515092458;-7.57634491;-6.325995026;-0.166453857;9.871520761
1.525092458;-7.33055603;-6.233188019;-0.239501953;9.625333541
1.535092458;-7.41363327;-5.930218048;-0.226928101;9.496364606
1.545092458;-7.406747589;-5.537135468;-0.364342346;9.254864903
1.555092458;-7.289990387;-5.300028534;-0.956211548;9.063586643
1.565091458;-7.919581146;-5.664221191;0.104033661;9.73724757
1.575091458;-7.928113403;-5.85163147;2.146386566;10.08481771
1.585091458;-7.338489532;-5.512436829;2.585722961;9.53553101
1.595091458;-7.40315506;-5.588628387;2.190993805;9.530998161
1.605090458;-6.332581329;-5.41049881;0.965641937;8.384959631
1.615090458;-6.437662811;-6.280489655;0.712967377;9.021993973
1.625090458;-9.01664978;-8.412206726;4.258793793;13.04616878
1.635090458;-5.665269012;-6.764582977;4.869823151;10.07819594
1.645090458;-4.35384613;-4.30938858;1.15844101;6.234484071
1.655090458;-4.965324554;-4.643194427;-2.070943451;7.106511746
1.665089458;-4.090244293;-5.000351715;-2.706222382;7.004088465
1.675089458;-4.363575897;-5.707181854;-3.72560257;8.092764289
1.685089458;-4.694238281;-6.569837952;-3.19315979;8.683024427
1.695089458;-5.079686737;-7.937992859;-1.697470093;9.575821254
1.705088458;-6.070177002;-9.55957077;0.4843927;11.33433185
1.715088458;-6.101461945;-9.930050354;3.20139267;12.08646569
1.725088458;-6.038293304;-8.741821289;4.152814178;11.40729114
1.735088458;-6.367309113;-7.460785217;3.271297302;10.33959996
1.745088458;-6.645131378;-6.385421448;1.576671295;9.349720342
1.755087458;-6.600224762;-5.405259705;-0.283061371;8.53580243
1.765087458;-6.564898224;-4.752167816;-1.562600555;8.253648171
1.775087458;-6.692133636;-4.630770264;-1.995500336;8.379182981
1.785087458;-6.683601379;-5.082979889;-1.606908417;8.549231931
1.795087458;-6.62731842;-5.951473846;-0.749042358;8.938817307
1.805086458;-5.998925171;-6.817423096;0.27617569;9.085187609
1.815086458;-5.337001648;-7.246880035;0.95830719;9.05092313
1.825086458;-5.034480743;-7.248227234;1.009650421;8.882690379
1.835086458;-4.316873016;-6.541696472;0.371377716;7.846470976
1.845086458;-3.88112915;-5.715115356;-0.548908539;6.930152062
1.855085458;-3.547922058;-5.18461853;-0.953517151;6.354306822
1.865085458;-3.273392944;-4.557123413;-1.287921753;5.75684094
1.875085458;-2.923869781;-4.23693924;-1.148860931;5.274518941
1.885085458;-3.078348541;-4.582570496;-0.053289185;5.520780907
1.895085458;-3.007994843;-4.436773682;0.642913055;5.398734192
1.905084458;-2.607128448;-3.887266388;0.595910797;4.71837561
1.915084458;-2.504292297;-3.747457123;0.188158722;4.511132729
1.925084458;-2.469714203;-3.681444397;-0.49142807;4.460271588
1.935084458;-2.940934296;-3.562591553;-2.217638397;5.124360757
1.945084458;-3.667673035;-4.379742279;-3.604654083;6.754813023
1.955083458;-4.025429077;-4.313280487;-4.171824646;7.22582789
1.965083458;-4.006268921;-3.230731659;-3.556903381;6.256147327
1.975083458;-4.014651489;-2.798580322;-2.696193237;5.587390838
1.985083458;-4.039350128;-3.403322754;-1.636546783;5.529669122
1.995083458;-4.796475677;-4.606820068;-0.632434845;6.680489795
2.005082458;-5.748795319;-5.68427948;-0.207917633;8.087206598
2.015082458;-6.442003784;-7.037914581;-0.160615997;9.542402837
2.025082458;-7.140451355;-7.79623764;-1.26486969;10.64740636
2.035082458;-7.295828247;-7.974965973;-2.819686432;11.17048896
2.045082458;-7.108417969;-7.5260495;-4.502636719;11.28914366
2.055082083;-7.10707077;-7.413184204;-6.059399414;11.92401259
2.065082083;-7.175328827;-7.335046692;-6.279441833;12.02994778
2.075082083;-7.445966034;-7.719896393;-5.239254913;11.93687574
2.085082083;-7.457492065;-7.513475647;-3.843557281;11.26230158
2.095081083;-7.671846313;-7.444618835;-2.269131317;10.92833621
2.105081083;-8.937015381;-9.12083313;-0.6728508;12.78720333
2.115081083;-9.655371552;-10.7801326;1.063837738;14.51100305
2.125081083;-8.833580475;-10.94404175;1.663191376;14.16228793
2.135081083;-7.547454987;-10.14919464;0.684825897;12.66646025
2.145080083;-7.571854248;-10.33076706;-1.810784454;12.93586739
2.155080083;-7.459587708;-11.41541153;-4.199816437;14.26869045
2.165080083;-6.694678345;-11.92914322;-4.240831146;14.32158598
2.175080083;-5.512885895;-11.89381668;-2.562221832;13.35738623
2.185080083;-6.132148132;-12.28659988;-0.726439362;13.7510542
2.195079083;-7.696694641;-13.22125626;0.965941315;15.3288541
2.205079083;-7.607779541;-13.61897919;3.164718933;15.9176113
2.215079083;-8.074508972;-13.66298767;3.093167725;16.16918717
2.225079083;-8.62236969;-13.20419174;2.30505661;15.93766685
2.235078083;-7.579937439;-11.93647797;2.724484406;14.39992268
2.245078083;-5.951473846;-9.452842712;3.198099518;11.6191272
2.255078083;-6.229745178;-9.371561737;1.911674652;11.41448178
2.265078083;-7.394772491;-10.17209702;0.391585693;12.58203311
2.275078083;-7.244784393;-9.265582123;0.001945953;11.76171402
2.285077083;-6.366560669;-6.642886047;0.213605804;9.203621963
2.295077083;-7.186854858;-5.126539307;0.078586578;8.828276382
2.305077083;-7.247778168;-4.700824585;1.113384705;8.710204685
2.315077083;-6.489006042;-3.28087738;3.211272125;7.948812771
2.325077083;-6.941365356;-0.922681274;2.739752655;7.519317679
2.335076083;-7.407196655;-3.196452942;2.093696136;8.334712785
2.345076083;-6.167774048;-7.047794037;2.96727951;9.824336374
2.355076083;-3.99234787;-7.651338959;3.064726868;9.158295701
2.365076083;-3.499871979;-8.412506104;2.232756958;9.381074909
2.375076083;-3.924538879;-8.990005188;1.105301514;9.871367187
2.385075083;-4.434528351;-8.684640198;0.12753479;9.752142441
2.395075083;-5.387895813;-8.527317352;-0.715063019;10.11216483
2.405075083;-6.331982574;-8.288414154;-0.84828598;10.46476954
2.415075083;-6.610553284;-7.318431244;-1.240919495;9.939755117
2.425075083;-7.020101624;-6.32195343;-2.23021225;9.706841333
2.435074083;-7.346123657;-5.493276672;-2.615361328;9.538434686
2.445074083;-7.146588593;-4.828509064;-2.742746429;9.050463318
2.455074083;-6.640940094;-5.106630707;-2.268532562;8.679055392
2.465074083;-6.253246307;-6.384822693;-1.653760986;9.088672928
2.475073083;-5.758076019;-6.712640991;-1.816622314;9.028571601
2.485073083;-5.620212708;-7.341333618;-2.444416809;9.563322838
2.495073083;-5.35316803;-6.565796356;-3.313958588;9.096615374
2.505073083;-4.810546417;-3.42951828;-4.848118286;7.642460558
2.515073083;-3.885021057;2.947819977;-6.260730743;7.935980133
2.525072083;-2.665656738;-7.780071259;-4.945715332;9.596631429
2.535072083;-0.812660065;-12.69300476;2.303559723;12.92591094
2.545072083;-3.254681854;-7.042105865;2.595901794;8.180642708
