time;x;y;z;absolute
0.0005945;-2.323168945;3.606600037;9.454938354;10.38270375
0.0105945;-2.153721313;3.962559814;9.322014771;10.35569192
0.0205955;-2.07573349;4.085304565;8.6434758;9.783049464
0.0305955;-2.14009964;3.83442627;8.577762451;9.636433985
0.0405965;-2.190245361;3.513044586;8.816515961;9.740103218
0.0505965;-2.067799988;3.364104309;8.861871643;9.70184331
0.0605965;-1.896107025;3.350183258;8.785380707;9.591760207
0.0705975;-1.89670578;3.36395462;8.816515961;9.625208423
0.0805975;-2.197280731;3.472329254;8.988508301;9.883238059
0.0905985;-2.541864166;3.656596069;9.180858307;10.20391726
0.1005985;-2.870580597;3.723057861;9.170829163;10.30560529
0.1105985;-2.957549744;3.63309494;9.226513367;10.34770642
0.1205995;-2.956950989;3.411555634;9.335486755;10.36984011
0.1305995;-3.015928345;3.194656677;9.323361969;10.30663541
0.1406005;-3.103196869;3.09960434;9.367520142;10.34349126
0.1506005;-3.194806366;3.194506989;9.392368469;10.42248761
0.1606015;-3.133883057;3.304228821;9.635163574;10.657182
0.1706015;-3.650608521;3.453169098;9.706265717;10.92990913
0.1806015;-3.6389328;2.360591125;9.413923645;10.36514258
0.1906025;-3.033890991;2.383942566;11.00286942;11.65979468
0.2006025;-3.130140839;3.029100952;10.25038422;11.13748674
0.2106035;-3.419788513;3.810176697;11.4317276;12.52584512
0.2206035;-2.87956192;4.259392548;11.33772308;12.44902673
0.2306035;-1.137185211;3.693269806;10.14964371;10.86041894
0.2406045;-0.460592194;2.41971817;10.18631744;10.47989715
0.2506045;-0.798140259;1.352138214;10.93595856;11.04809917
0.2606055;-1.204844513;1.272054749;10.94194611;11.08133377
0.2706055;-1.335522766;1.635648651;10.20622604;10.42238061
0.2806065;-1.320254517;2.02888092;9.173224182;9.487226764
0.2906065;-1.229393463;2.401456146;7.525001678;7.994000886
0.3006065;-1.237177277;2.515369263;5.958509216;6.584946638
0.3106075;-1.190324707;2.329156494;5.48773819;6.079236245
0.3206075;-0.955313416;2.01256485;5.682183838;6.10329863
0.3306085;-0.621956635;1.905537415;6.932533722;7.216503773
0.3406085;-0.279019775;2.314487;8.647667084;8.956385884
0.3506085;-0.617316284;3.058889008;9.150471497;9.667937214
0.3606095;-1.650617523;2.495610352;7.972271576;8.515264137
0.3706095;-1.739532623;2.731070709;7.385791168;8.064405257
0.3806105;0.206420746;3.465144196;6.481371918;7.352415641
0.3906105;2.984344025;2.962489471;5.754333801;7.127061851
0.4006115;3.510499878;2.041005707;5.707181854;7.004372806
0.4106115;3.247796173;1.801354065;6.218368835;7.243008175
