time;x;y;z;absolute
0.00186025;-1.751058655;1.65211441;9.277856598;9.585108841
0.01186025;-1.628164215;1.486109619;9.603429565;9.853187298
0.02186025;-1.509910126;1.255888367;9.880503387;10.07379925
0.03186025;-1.122665405;1.098116455;10.19155655;10.31184088
0.04186025;-0.421822815;0.972677307;10.25667114;10.31132089
0.05186025;0.125888214;0.765059052;10.19425095;10.22369383
0.06186125;0.296832733;0.391436005;10.20038818;10.21221087
0.07186125;0.375269623;0.00823288;10.06551865;10.07251511
0.08186125;0.434396667;-0.308658142;9.95040802;9.964667083
0.09186125;0.575253754;-0.407752075;10.25906616;10.2832688
0.10186125;0.781075745;-0.550106049;10.00249969;10.04801951
0.11186125;0.860410767;-0.743653564;9.601932678;9.669045375
0.12186125;1.049467621;-0.780027924;9.576335907;9.665197114
0.13186225;1.722767487;-0.798289948;9.90355545;10.08392806
0.14186225;1.643731842;-1.519789581;9.861642609;10.11254714
0.15186225;0.580193481;-2.949466553;8.819809113;9.317993894
0.16186225;-0.318387909;-4.23454422;7.177723846;8.339811462
0.17186225;-0.623752899;-4.924758911;6.695726166;8.335170478
0.18186225;-0.993484039;-5.181624756;6.671177216;8.505342503
0.19186225;-1.701212311;-5.001698914;6.796915741;8.608668825
0.20186325;-2.074685669;-4.468208313;7.104076996;8.645063107
0.21186325;-2.20446579;-4.605173492;7.375762024;8.970460286
0.22186325;-2.18335968;-5.123096466;7.970774689;9.723498652
0.23186325;-2.816842346;-5.251230011;8.570128326;10.43825258
0.24186325;-4.047732697;-5.486091614;8.532706146;10.92192361
0.25186325;-5.100643158;-5.787714386;8.598569183;11.55203837
0.26186425;-5.629643097;-5.520220642;9.199719086;12.11612762
0.27186425;-5.84923645;-4.919669495;9.61690155;12.28419759
0.28186425;-6.114035797;-4.634213104;9.106612701;11.90746655
0.29186425;-6.303691406;-4.673730927;8.270301819;11.40079727
0.30186425;-6.136938171;-4.490960999;7.851921844;10.93084706
0.31186425;-5.980812836;-4.376000061;7.707771606;10.6924853
0.32186425;-5.985602875;-4.195475464;7.677684174;10.60076839
0.33186525;-6.146817627;-3.797902222;7.924820251;10.72428106
0.34186525;-6.354585571;-3.653901672;8.180338898;10.98406572
0.35186525;-6.395749969;-3.329376526;8.18363205;10.90697938
0.36186525;-6.574328613;-3.043920135;7.993078308;10.78779622
0.37186525;-6.732100525;-3.056793365;7.564519501;10.57767075
0.38186525;-6.591842194;-3.06322998;7.285948792;10.29178367
0.39186625;-6.048023071;-2.797532501;7.018305359;9.677881032
0.40186625;-5.444328461;-2.560275879;6.892267456;9.148719891
0.41186625;-4.730013885;-2.58587265;6.85080368;8.717412448
0.42186625;-4.154460754;-2.767445068;6.924001465;8.53581236
0.43186625;-4.097579041;-2.994373169;6.863078156;8.535705386
0.44186625;-4.553381195;-2.794239349;6.955136719;8.770118621
0.45186625;-5.441634064;-2.52973938;7.009174347;9.227106136
0.46186725;-6.328539734;-2.557880859;7.038213959;9.804571657
0.47186725;-6.840774536;-2.661465454;7.414681091;10.43346013
0.48186725;-7.178771667;-3.103645935;7.753426666;11.01285639
0.49186725;-7.195087738;-3.655548248;7.827522583;11.24288354
0.50186725;-7.376510468;-4.292473755;8.124804382;11.78349201
0.51186725;-7.93320282;-5.054688721;8.137827301;12.43824016
0.52186825;-8.283773804;-5.307213593;7.779622192;12.54232618
0.53186825;-8.628057861;-4.511318665;7.609426117;12.35713334
0.54186825;-8.83762207;-3.47517334;6.932234344;11.757392
0.55186825;-8.449628906;-2.491718445;6.136189728;10.73581454
0.56186825;-7.77872406;-1.514400787;5.755531311;9.794289072
0.57186825;-7.316185913;-0.652642822;4.906347198;8.833162616
0.58186925;-6.662794647;-0.020806732;4.283193054;7.92079593
0.59186925;-6.346652069;-0.131127319;3.729793854;7.36264552
0.601869375;-6.349945221;-1.055604858;3.291355591;7.229739107
0.611869375;-6.606811066;-2.500550079;2.599194946;7.527185233
0.621869375;-7.452552338;-4.224664764;2.168241119;8.836831914
0.631869375;-8.551866302;-7.224426727;3.033741302;11.5987217
0.641870375;-8.455466766;-9.796228638;3.921694794;13.52186022
0.651870375;-8.00684967;-10.67969147;3.389401703;13.77147397
0.661870375;-7.938890991;-11.31781448;3.119363251;14.17213258
0.671870375;-7.893535309;-11.54174881;4.287833405;14.62550446
0.681870375;-7.765252075;-11.41466309;4.242328033;14.44268051
0.691870375;-7.799381104;-10.84599564;4.53646637;14.10834838
0.701871375;-7.595205688;-9.900411987;5.015619965;13.44848507
0.711871375;-6.773264923;-8.835975494;4.997507629;12.20355125
0.721871375;-6.070476379;-7.313192139;4.817432098;10.65556731
0.731871375;-5.234315186;-5.117108917;3.791016541;8.243461988
0.741871375;-4.832251282;-4.149670715;5.406457214;8.354651346
0.751871375;-5.953868866;-5.873036957;7.471113739;11.21421678
0.761871375;-7.591912537;-7.604187012;6.548731842;12.58358791
0.771872375;-8.248297577;-7.70268219;4.339176636;12.09107852
0.781872375;-8.409212952;-6.93507843;3.946992188;11.59262363
0.791872375;-7.983947296;-6.098917236;4.728067932;11.10382062
0.801872375;-7.087611237;-5.875731354;5.765859833;10.86294581
0.811872375;-6.375541992;-6.100264435;6.928791504;11.21913159
0.821872375;-5.748945007;-5.733976135;6.254443817;10.2492399
0.831873375;-4.832999725;-5.074747009;5.515879669;8.918288629
0.841873375;-3.74655899;-4.174968109;5.197791138;7.647489503
0.851873375;-3.156036987;-2.901566162;4.918172607;6.524421618
0.861873375;-2.791694641;-1.870360565;5.301375732;6.276654544
0.871873375;-1.817221069;-0.544717255;5.39178772;5.715801266
0.881873375;-2.414928131;-1.017284546;5.72409668;6.295397408
0.891874375;-2.851420441;-1.879790955;4.681814117;5.795135546
0.901874375;-1.895059204;-1.546134796;2.196083221;3.287029618
0.911874375;-2.589465179;-1.582808533;0.988694;3.191884803
0.921874375;-7.358098755;-4.859644318;3.470682678;9.476465503
0.931874375;-11.65416504;-9.523645477;10.84539688;18.55106518
0.941874375;-4.257296906;-5.118456116;8.189320221;10.55405778
0.951875375;-4.110601959;-4.133504333;4.267625427;7.224647627
0.961875375;-9.75730957;-6.082900543;2.236798553;11.7136688
0.971875375;-19.2683812;-7.50030304;4.90619751;21.2507843
0.981875375;-19.48707642;-2.489323425;9.271569672;21.7233718
0.991875375;-5.640121307;3.294049988;7.866291962;10.22449426
1.001875375;-1.540895691;1.1665242;4.836741943;5.208570904
1.011876375;-5.347779236;-4.802313538;6.29500946;9.554480738
1.021876375;-8.028554535;-7.598199463;8.369395752;13.86495973
1.031876375;-5.338498535;-8.379275208;4.128714294;10.75909389
1.041876375;-4.546196136;-10.86096451;2.53797226;12.04449055
1.051876375;-4.267176361;-12.79688873;4.212090912;14.13190947
1.061876375;-2.977009277;-12.91364594;5.438191223;14.32476036
1.071877375;-2.492167511;-12.29692841;5.516029358;13.70590847
1.081877375;-3.219654694;-11.23039627;4.159550171;12.40120294
1.091877375;-4.00986145;-9.613309021;2.386337585;10.68593965
1.101877375;-5.162165222;-8.032147064;2.152074738;9.787479855
1.111877375;-6.220015411;-6.86726944;2.520458679;9.602119205
1.121877375;-6.665489044;-6.788533173;1.984123993;9.718522257
1.131878375;-6.400240631;-7.094496918;2.151925049;9.794169085
1.141878375;-6.395450592;-7.788753204;3.6588414;10.72164097
1.151878375;-6.155200195;-8.541088715;4.073479156;11.28848609
1.161878375;-5.994584198;-7.898774414;3.727249146;10.59330275
1.171878375;-6.146817627;-5.617667999;4.355941772;9.397648079
1.181878375;-7.0111203;-3.734284515;5.070406036;9.423890178
1.191879375;-7.893834686;-3.669618988;4.472399597;9.786781275
1.201879375;-8.014184418;-4.476890259;5.012925568;10.45940347
1.211879375;-7.761060791;-6.697372742;5.912105713;11.83392835
1.221879375;-7.17023941;-8.73703125;6.168522491;12.8762851
1.231879375;-6.433471527;-10.063423;5.819747772;13.28651582
1.241879375;-4.930147705;-11.09702362;5.669909363;13.40142387
1.251880375;-3.172353058;-12.21519836;5.20692215;13.65235999
1.261880375;-0.717607727;-13.33936066;2.655777283;13.62008284
1.271880375;1.538350983;-13.28367645;0.912203064;13.40353305
1.281880375;2.487227783;-12.20097794;0.913101196;12.48534815
1.291880375;1.861379242;-9.908944244;1.50122818;10.19340938
1.301881375;0.999770966;-6.970105591;0.764759674;7.082850506
1.311881375;0.873583374;-4.027824097;0.262853394;4.129843432
1.321881375;1.228046265;-1.863624573;-0.066312103;2.232843808
1.331881375;0.691412201;-0.979862366;0.650996246;1.364542854
1.341881375;-1.268761597;-2.25940155;1.177900543;2.846418986
1.351881375;-6.661148071;-5.900429993;5.42456955;10.4217044
1.361881375;-14.58806396;-11.28952332;10.05174728;21.00720282
1.371882375;-15.02769974;-11.14567245;6.475534058;19.79874529
1.381882375;-11.17800522;-8.195008392;6.108647003;15.14666734
1.391882375;-9.492659912;-6.873256989;4.69678299;12.62584747
1.401882375;-11.71284302;-9.286837921;5.947881317;16.08767672
1.411882375;-8.785680084;-8.110284576;5.400918732;13.12001576
1.421883375;-3.084934845;-5.123695221;5.564378815;8.168928162
1.431883375;-2.959346008;-6.711443481;6.567293243;9.845331023
1.441883375;-3.142565002;-6.853797455;7.002887421;10.29032004
1.451883375;-3.23881485;-6.883286133;5.942492523;9.653122138
1.461883375;-3.432661743;-7.299420776;5.85627182;9.967980234
1.471883375;-3.712280273;-7.476053467;5.932463379;10.24043564
1.481884375;-4.615801392;-7.63128067;4.658612366;10.06204434
1.491884375;-5.99787735;-8.100105743;2.610571289;10.41159585
