time;x;y;z
0.013356946;-6.395309448;-4.915847778;4.157455444
0.01582887;-6.341445923;-4.776977539;4.254425049
0.018300794;-6.270812988;-4.684799194;4.296325684
0.020772718;-6.323486328;-4.561508179;4.366958618
0.023244642;-6.262435913;-4.501647949;4.444763184
0.025716565;-6.312713623;-4.545944214;4.607574463
0.028157972;-6.410873413;-4.59262085;4.696151733
0.030629895;-6.543762207;-4.697967529;4.705734253
0.033101819;-6.646713257;-4.785354614;4.618347168
0.035573743;-6.805923462;-4.855987549;4.542922974
0.038015149;-7.047729492;-4.890701294;4.530960083
0.040487073;-7.306304932;-4.842819214;4.550109863
0.042928479;-7.545730591;-4.760223389;4.609970093
0.045400403;-7.774368286;-4.6668396;4.647079468
0.047872327;-7.967102051;-4.605789185;4.750030518
0.050344251;-8.035339355;-4.411865234;4.823043823
0.052816175;-8.061676025;-4.33644104;4.851776123
0.055288099;-8.052108765;-4.33404541;4.890090942
0.057729505;-7.894088745;-4.305328369;4.902053833
0.060201429;-7.722900391;-4.323272705;4.876922607
0.062673353;-7.470306396;-4.366378784;4.842193604
0.065145276;-7.241668701;-4.377151489;4.874526978
0.067586683;-7.040557861;-4.41305542;4.808685303
0.070058606;-6.841827393;-4.486083984;4.748825073
0.07253053;-6.756835938;-4.537567139;4.699752808
0.074971936;-6.606002808;-4.664459229;4.520187378
0.07744386;-6.491088867;-4.755432129;4.301116943
0.079915784;-6.438415527;-4.847610474;4.098800659
0.082387708;-6.325881958;-4.888305664;3.96472168
0.084859632;-6.275604248;-5.011611938;3.76121521
0.087301038;-6.251663208;-5.137313843;3.651092529
0.089772962;-6.197799683;-5.145690918;3.652282715
0.092244886;-6.128356934;-5.193572998;3.67024231
0.09471681;-6.062515259;-5.245040894;3.696578979
0.097158216;-6.008651733;-5.185195923;3.746856689
0.09963014;-5.876968384;-5.210327148;3.839035034
0.102102063;-5.817108154;-5.155258179;3.918045044
0.104573987;-5.730926514;-5.094207764;4.029373169
0.107015394;-5.635162354;-5.098999023;4.030563354
0.109487317;-5.546569824;-5.239059448;4.184997559
0.111959241;-5.536987305;-5.179199219;4.309494019
0.114431165;-5.495101929;-5.018798828;4.447158813
0.116872571;-5.438827515;-4.905075073;4.460327148
0.119344495;-5.444824219;-4.799728394;4.491455078
0.121816419;-5.491500854;-4.682403564;4.491455078
0.124288343;-5.596847534;-4.578262329;4.517791748
0.126760267;-5.636352539;-4.53994751;4.483078003
0.129201673;-5.711776733;-4.426223755;4.487854004
0.131643079;-5.797958374;-4.347213745;4.491455078
0.134115003;-5.847045898;-4.392715454;4.478286743
0.136586927;-5.918869019;-4.451370239;4.533355713
0.139028333;-5.917678833;-4.523193359;4.538131714
0.141500257;-5.963165283;-4.61895752;4.508209229
0.143972181;-5.990692139;-4.718322754;4.576446533
0.146444104;-6.069702148;-4.823669434;4.673416138
0.148885511;-6.113998413;-4.968521118;4.724884033
0.151357435;-6.136734009;-5.098999023;4.857757568
0.153829358;-6.146316528;-5.260604858;5.005004883
0.156301282;-6.194198608;-5.435379028;5.154647827
0.158742688;-6.128356934;-5.600585938;5.350967407
0.161214612;-6.125961304;-5.664031982;5.573623657
0.163686536;-6.067306519;-5.723892212;5.786712646
