time;x;y;z;absolute
-0.000144625;-5.397026825;4.161645813;7.375163269;10.0419235
0.009856375;-5.460494843;4.126019897;8.08408905;10.5921452
0.019856375;-5.699697418;3.738775177;8.000562744;10.510661
0.029856375;-5.624853058;3.402873688;7.966433716;10.32872632
0.039856375;-5.42456955;3.143762512;8.009544067;10.1716269
0.049856375;-5.0828302;2.943628693;7.584428101;9.592896452
0.059856375;-4.689448242;2.700983276;7.129224701;8.950535197
0.069856375;-4.43692337;2.325114899;7.370672607;8.911748592
0.079856375;-4.118984528;1.96571228;8.012537842;9.221215808
0.089856375;-4.163891144;2.115999756;5.796695709;7.444267967
0.099856375;-3.52786377;2.509681091;8.133186951;9.213742558
0.109856375;-2.324665833;2.19159256;10.80123871;11.2638318
0.119857375;-2.714455261;1.437760162;11.89426575;12.28450159
0.129857375;-4.033063202;1.070723419;10.07105713;10.9012953
0.139857375;-4.895569611;2.038760376;8.000712433;9.598674133
0.149857375;-5.154531097;2.919079742;7.783214722;9.781035159
0.159857375;-4.954546967;3.088377686;7.950117645;9.863568469
0.169857375;-3.626358948;3.226989441;8.107440491;9.449578371
0.179857375;-2.968776398;3.03868103;8.096363525;9.143211582
0.189857375;-2.776875458;2.62913269;7.961943054;8.832661729
0.199857375;-1.8194664;2.268682251;7.428153076;7.977144556
0.209857375;-1.291663971;2.723137207;6.017187195;6.729815287
0.219857375;-1.556912384;2.834655304;5.736820221;6.58561714
0.229857375;-2.410736847;1.982776794;6.2400737;6.977218338
0.239858375;-2.822081451;0.62719574;7.266339569;7.820307471
0.249858375;-2.949316864;0.240400085;6.9129245;7.519626806
0.259858375;-2.377955017;2.232756958;5.098397827;6.052564258
0.269858375;-2.199376373;3.605552216;4.362977142;6.07230045
0.279858375;-3.304079132;2.307002563;4.837490387;6.296071234
0.2898585;-4.272415466;1.703307953;4.724924469;6.593914098
0.2998585;-4.467160492;1.581611023;3.577410736;5.937582325
0.3098585;-4.353397064;1.071471863;4.118535461;6.087893913
0.3198585;-5.170847168;0.059276733;5.771548004;7.749318714
0.3298585;-6.799909515;-1.536405029;11.07382187;13.08544384
0.3398585;-8.663384399;-3.538791046;17.82089127;20.12862233
0.3498585;-10.30846344;-4.577630768;16.79297882;20.2292674
0.3598595;-11.38367752;-3.616329803;14.54195984;18.81846304
0.3698595;-9.388476563;-1.835333405;11.21512802;14.74079501
0.3798595;-6.463409271;0.008382568;9.323811035;11.34500691
0.3898595;-4.50248703;1.549128571;8.827293549;10.02962114
