time;x;y;z
0.022259864;-5.656707764;0.155075073;6.239212036
0.024731788;-5.706985474;0.085647583;6.277526855
0.027203712;-5.684234619;-0.005340576;6.159011841
0.029675635;-5.724945068;-0.107086182;6.059646606
0.032147559;-5.740493774;-0.218414307;6.005783081
0.034619483;-5.745285034;-0.241165161;5.949523926
0.037060889;-5.689025879;-0.309402466;5.868118286
0.039532813;-5.702194214;-0.356079102;5.793899536
0.041974219;-5.722549438;-0.352493286;5.775939941
0.044446143;-5.717758179;-0.472198486;5.772354126
0.046918067;-5.726135254;-0.512908936;5.674179077
0.049389991;-5.738113403;-0.58354187;5.683761597
0.051831397;-5.759658813;-0.65296936;5.610733032
0.054303321;-5.758453369;-0.690078735;5.553283691
0.056775245;-5.795562744;-0.72718811;5.525741577
0.059247169;-5.764450073;-0.838516235;5.397659302
0.061688575;-5.760848999;-0.86126709;5.267166138
0.064160499;-5.782394409;-0.90435791;5.172607422
0.066632423;-5.729721069;-0.90914917;5.097183228
0.069104346;-5.726135254;-0.903167725;4.952331543
0.07157627;-5.697402954;-0.90914917;4.829040527
0.074048194;-5.695007324;-0.97857666;4.672210693
0.0764896;-5.689025879;-0.994140625;4.574050903
0.078961524;-5.699798584;-0.942672729;4.465118408
0.081433448;-5.693817139;-0.9115448;4.317871094
0.083874854;-5.665084839;-0.9115448;4.190979004
0.086346778;-5.671066284;-0.88041687;4.048522949
0.088818702;-5.717758179;-0.879226685;3.901275635
0.091290626;-5.717758179;-0.843307495;3.810302734
0.09376255;-5.817108154;-0.864852905;3.633132935
0.096203956;-5.855422974;-0.864852905;3.472717285
0.09867588;-5.926055908;-0.845703125;3.303924561
0.101147803;-5.975128174;-0.894775391;3.125564575
0.103619727;-5.973937988;-0.881607056;2.878952026
0.106061134;-5.977523804;-0.886398315;2.682632446
0.108533057;-5.975128174;-0.953445435;2.582077026
0.111004981;-5.994293213;-0.970199585;2.390533447
0.113476905;-5.940414429;-0.96421814;2.262451172
0.115948829;-5.922454834;-1.00491333;2.157104492
0.118420753;-5.985900879;-1.07913208;2.096054077
0.120892677;-6.020629883;-1.11026001;2.012252808
0.1233646;-6.058929443;-1.185684204;2.026626587
0.125806007;-6.131958008;-1.226379395;2.048171997
0.12827793;-6.220535278;-1.28503418;2.038589478
0.130749854;-6.300750732;-1.346084595;2.046966553
0.133221778;-6.340255737;-1.414321899;2.128372192
0.135663184;-6.382141113;-1.452636719;2.233718872
0.138135108;-6.414474487;-1.524459839;2.157104492
0.140576514;-6.476715088;-1.517272949;2.091262817
0.143048438;-6.547348022;-1.708816528;2.097244263
0.145520362;-6.616775513;-1.874008179;2.078094482
0.147992286;-6.783172607;-2.114624023;2.125976563
0.150433692;-7.211730957;-2.907104492;2.233718872
0.152905616;-7.485870361;-3.348831177;2.426452637
0.15537754;-7.494247437;-3.344055176;2.580871582
0.157849464;-7.392501831;-3.244689941;2.686218262
0.16029087;-7.175827026;-3.013656616;2.821487427
0.162762794;-6.908874512;-2.660507202;2.925643921
0.165234718;-6.719726563;-2.377990723;3.11000061
0.167706641;-6.546142578;-2.105056763;3.271606445
0.170148048;-6.364196777;-1.927886963;3.515808105
0.172619971;-6.200195313;-1.814147949;3.676223755
0.175091895;-6.072097778;-1.772262573;3.884521484
0.177533302;-5.938018799;-1.737533569;4.082046509
