time;x;y;z
0,029575286;-5,880569458;0,315490723;4,757202148
0,03204721;-5,960769653;0,319076538;4,783538818
0,034519134;-5,923660278;0,237670898;4,702133179
0,03696054;-5,887741089;0,128738403;4,718902588
0,039432464;-5,873382568;0,049728394;4,660247803
0,041904388;-5,873382568;-0,024490356;4,677001953
0,044376312;-5,899719238;-0,006530762;4,687774658
0,046848236;-5,916473389;-0,089126587;4,705734253
0,049320159;-5,928451538;-0,123855591;4,738052368
0,051761566;-5,963165283;-0,127441406;4,728469849
0,054233489;-6,013442993;-0,222015381;4,679397583
0,056705413;-6,027801514;-0,302215576;4,590805054
0,059146819;-6,019424438;-0,284255981;4,642288208
0,061618743;-6,006256104;-0,290252686;4,690170288
0,064090667;-5,969146729;-0,326156616;4,716506958
0,066562591;-5,903305054;-0,360870361;4,711715698
0,069003997;-5,908096313;-0,405166626;4,669815063
0,071475921;-5,929641724;-0,438690186;4,564468384
0,073947845;-5,902114868;-0,527267456;4,422012329
0,076419769;-5,897323608;-0,7056427;4,083236694
0,078891693;-6,054138184;-1,01449585;3,470321655
0,081363616;-6,109207153;-1,202438354;2,978317261
0,083805023;-6,098434448;-1,198852539;2,720932007
0,086276946;-6,061325073;-1,185684204;2,552154541
0,08874887;-5,964355469;-1,135406494;2,516235352
0,091190277;-5,821899414;-1,12701416;2,400115967
0,0936622;-5,669876099;-0,963012695;2,442016602
0,096134124;-5,466369629;-0,946258545;2,614395142
0,098606048;-5,282012939;-0,869644165;2,756851196
0,101047454;-5,113220215;-0,85647583;2,908889771
0,103519378;-5,079696655;-0,836120605;3,089645386
0,105991302;-4,99230957;-0,818161011;3,172241211
0,108463226;-5,0234375;-0,8828125;3,220123291
0,110904632;-5,029418945;-0,948654175;3,262023926
0,113376556;-5,04258728;-1,022872925;3,320678711
0,11584848;-5,083297729;-1,168914795;3,33265686
0,118320403;-5,082092285;-1,264678955;3,28237915
0,120792327;-5,14553833;-1,360458374;3,224914551
0,123233734;-5,137161255;-1,542419434;3,26322937
0,125705657;-5,113220215;-1,696838379;3,240478516
0,128177581;-5,122802734;-1,808166504;3,220123291
0,130649505;-5,0809021;-1,978164673;3,221328735
0,133090911;-5,09046936;-2,144561768;3,120773315
0,135562835;-5,04977417;-2,261871338;3,11479187
0,138034759;-5,036605835;-2,349258423;3,08605957
0,140476165;-5,070129395;-2,436645508;3,056121826
0,142948089;-5,109634399;-2,508468628;2,990280151
0,145420013;-5,125198364;-2,579101563;2,966339111
0,147861419;-5,12399292;-2,617416382;2,983108521
0,150333343;-5,141952515;-2,642547607;2,975921631
0,152805267;-5,096466064;-2,642547607;2,95916748
0,155277191;-5,11680603;-2,667694092;2,943603516
0,157718597;-5,1431427;-2,684448242;2,971130371
0,160190521;-5,091674805;-2,644943237;3,005844116
0,162662444;-5,03062439;-2,654525757;3,104003906
0,165134368;-4,634384155;-2,735916138;3,233291626
0,167575775;-4,391372681;-2,790985107;3,423629761
0,170047698;-4,598464966;-2,696411133;3,39251709
0,172519622;-4,74810791;-2,701202393;3,439193726
0,174991546;-4,84866333;-2,692825317;3,410461426
0,177432952;-4,97795105;-2,616210938;3,400894165
0,179904876;-5,189834595;-2,647338867;3,355407715
0,1823768;-5,393341064;-2,638961792;3,245269775
0,184848724;-5,5262146;-2,635360718;3,144714355
0,18729013;-5,687835693;-2,696411133;3,052536011
0,189762054;-5,918869019;-2,816131592;3,003448486
0,192233978;-6,074493408;-2,939422607;2,88494873
0,194705902;-6,233703613;-3,067520142;2,883743286
0,197147308;-6,384536743;-3,241104126;2,868179321
0,199619232;-6,477920532;-3,385955811;2,814315796
0,202091155;-6,588043213;-3,496078491;2,811920166
0,204563079;-6,690994263;-3,621780396;2,772415161
0,207004486;-6,775985718;-3,789367676;2,841842651
0,209476409;-6,822677612;-3,9868927;2,864593506
0,211948333;-6,838241577;-4,08984375;2,890930176
0,214420257;-6,880142212;-4,208358765;2,947189331
0,216861663;-6,854995728;-4,374755859;2,989089966
0,219333587;-6,820281982;-4,524398804;3,101623535
0,221805511;-6,840637207;-4,617767334;3,179428101
0,224277435;-6,847824097;-4,6668396;3,24168396
0,226718841;-6,785568237;-4,671630859;3,31829834
0,229190765;-6,771209717;-4,724304199;3,398498535
0,231662689;-6,781982422;-4,701568604;3,399688721
0,234134612;-6,746063232;-4,720718384;3,479904175
0,236576019;-6,719726563;-4,713531494;3,491867065
0,239047943;-6,717330933;-4,799728394;3,41885376
0,241519866;-6,710159302;-4,823669434;3,39251709
0,24399179;-6,736495972;-4,851196289;3,455963135
0,246433196;-6,759231567;-4,969711304;3,336242676
0,24890512;-6,838241577;-5,018798828;3,333847046
0,251377044;-6,919647217;-5,095413208;3,31350708
0,253848968;-6,986679077;-5,183990479;3,28237915
0,256290374;-7,014221191;-5,289337158;3,23928833
0,258762298;-7,087234497;-5,382705688;3,187805176
0,261234222;-7,098007202;-5,431793213;3,148300171
0,263706146;-7,211730957;-5,479675293;3,064498901
0,266178069;-7,320678711;-5,502426147;2,973526001
0,268619476;-7,503829956;-5,539535522;2,878952026
0,2710914;-7,680999756;-5,525161743;2,798751831
0,273563323;-7,85218811;-5,503616333;2,714950562
0,27600473;-8,004211426;-5,510803223;2,561721802
0,278476653;-8,23286438;-5,478485107;2,475540161
0,280948577;-8,43397522;-5,429397583;2,365402222
0,283420501;-8,625518799;-5,369537354;2,178649902
0,285892425;-8,842193604;-5,450942993;2,039794922
0,288364349;-9,012176514;-5,442565918;1,964370728
0,290836273;-9,242019653;-5,478485107;1,911697388
0,293308196;-9,479049683;-5,559890747;1,746505737
0,29578012;-9,674179077;-5,647277832;1,657913208
0,298221527;-9,865707397;-5,768173218;1,588485718
0,30069345;-10,05844116;-5,930984497;1,509475708
0,303165374;-10,18054199;-6,053085327;1,483139038
0,305637298;-10,28109741;-6,196746826;1,407714844
