,heart_rate,SPO,label
0,187.0,97.0,0
1,128.1,97.0,5
2,187.0,97.0,0
3,115.0,97.0,1
4,107.8,97.0,2
5,142.4,97.0,8
6,162.0,97.0,3
7,150.0,97.0,4
8,187.0,97.0,0
9,187.0,97.0,0
10,187.0,97.0,0
11,166.0,97.0,3
12,131.4,97.0,5
13,93.16666666666667,96.91666666666667,6
14,150.0,96.0,4
15,166.6,96.0,3
16,126.4,96.0,9
17,88.0,96.0,7
18,108.25,96.75,2
19,115.0,97.0,1
20,109.75,97.0,2
21,100.0,97.0,6
22,145.0,96.1,13
23,132.5,96.7,5
24,130.04166666666666,97.0,5
25,136.0,97.0,8
26,187.0,97.0,0
27,156.4,97.0,12
28,150.0,97.0,4
29,150.0,97.0,4
30,150.0,97.0,4
31,103.5,97.0,2
32,166.0,97.0,3
33,140.5,97.0,8
34,152.0,97.0,4
35,166.0,97.0,3
36,166.0,97.0,3
37,166.0,97.0,3
38,108.8,97.0,2
39,92.2,97.0,6
40,109.9,97.0,2
41,166.0,97.0,3
42,166.0,97.0,3
43,138.95833333333334,97.0,8
44,117.75,97.0,1
45,148.75,97.0,4
46,125.0,97.0,9
47,125.0,97.0,9
48,141.4,97.0,8
49,166.0,97.0,3
50,166.0,97.0,3
51,121.75,97.0,10
52,107.0,97.0,2
53,119.9,97.0,17
54,150.0,97.0,4
55,128.75,97.0,5
56,108.75,97.0,2
57,122.5,97.0,10
58,150.0,97.0,4
59,150.0,97.0,4
60,150.0,97.0,4
61,159.6,97.0,3
62,163.33333333333334,97.0,3
63,150.0,97.0,4
64,150.0,97.0,4
65,161.2,97.0,3
66,136.66666666666666,97.0,8
67,79.85,97.0,11
68,115.0,97.0,1
69,115.0,96.15,1
70,107.0,96.0,2
71,113.2,96.0,1
72,166.0,96.0,3
73,150.0,96.0,4
74,106.9,97.0,2
75,95.8,96.9,6
76,166.0,96.0,3
77,166.0,96.0,3
78,166.0,96.0,3
79,162.0,96.0,3
80,150.8,96.0,4
81,166.0,96.0,3
82,166.0,96.0,3
83,94.05,96.0,6
84,100.0,96.0,6
85,146.2,96.0,13
86,166.0,96.0,3
87,161.2,96.0,3
88,150.0,96.0,4
89,150.0,96.0,4
90,150.0,96.0,4
91,157.2,96.0,12
92,166.0,96.0,3
93,150.66666666666666,96.0,4
94,162.0,96.0,3
95,157.2,96.0,12
96,152.13333333333333,96.0,4
97,166.0,96.0,3
98,151.6,96.0,4
99,150.0,96.0,4
100,150.0,96.0,4
101,150.0,96.0,4
102,150.0,96.0,4
