time,x,y,z,absolute
0.001526542,4.492757263,7.169790344,4.983736267,9.819795751
0.011526542,4.443659363,7.114704895,4.99271759,9.76178074
0.021526542,4.087250519,6.97953598,5.137017517,9.581674607
0.031527542,3.405867462,6.708749084,5.245092773,9.17159995
0.041527542,2.716850281,6.342610474,5.338648224,8.724170329
0.051527542,2.445614319,5.969286804,5.966592407,8.787129184
0.061528542,2.402803345,5.812263336,6.803651733,9.265287147
0.071528542,2.500849457,5.871240692,7.451205139,9.810513406
0.081528542,2.809657288,6.030509491,7.932903442,10.35336543
0.091528542,3.251538391,6.220314789,8.099806366,10.71782073
0.101529542,3.634591827,6.439309387,7.904612274,10.82394837
0.111529542,3.827540588,6.577921143,7.614814911,10.76589614
0.121529542,3.864364014,6.650669861,7.112160187,10.47604607
0.131530542,3.768413544,6.678661652,6.516848145,10.06353675
0.141530542,3.637735291,6.645580444,6.105204163,9.729870264
0.151530542,3.484154663,6.521039429,6.025420074,9.537765777
0.161531542,3.362158356,6.381230164,6.192921753,9.506654882
0.171531542,3.304228821,6.224506073,6.566395111,9.632234876
0.181531542,3.325484619,6.040838013,6.90005127,9.755064293
0.191532542,3.285218353,5.776038666,7.038962402,9.679993492
0.201532542,3.20139267,5.463338928,7.116201782,9.525613632
0.211532542,3.083587646,5.198539581,7.224576416,9.419545156
0.221532542,3.021766205,5.12968277,7.365433502,9.470708896
0.231533542,3.037333832,5.241649933,7.431895294,9.588188488
0.241533542,3.137924652,5.366190948,7.35989502,9.633827439
0.251533542,3.285368042,5.508694611,7.14569046,9.602096211
0.261534542,3.42712326,5.636678467,6.889722748,9.538637089
0.271534542,3.499422913,5.795049133,6.613996124,9.464327758
0.281534542,3.337759094,6.046825562,6.313271484,9.357463972
0.291535542,3.040477295,6.339167633,6.272107086,9.421723609
0.301535542,2.871778107,6.694977722,6.417604523,9.708526356
0.311535542,2.396516418,6.652915192,6.102659454,9.340611538
0.321536542,1.838626556,6.116281128,5.835465088,8.651132599
0.331536542,1.683399353,5.67844162,5.891598358,8.354008848
0.341536542,2.153272247,5.666466522,6.19441864,8.666962934
0.351536542,2.47824646,5.664819946,6.320306854,8.841841961
0.361537542,2.72283783,5.674400024,6.238576813,8.861856585
0.371537542,3.068918152,5.81061676,6.475534058,9.22572854
0.381537542,3.658991089,5.887257385,7.632328491,10.31021113
0.391538542,3.777394867,5.796096954,9.393715668,11.66641958
0.401538542,2.737357635,5.463338928,10.58209442,12.21973492
0.411538542,1.205592957,4.978646851,11.33907028,12.44246333
0.421539542,-0.246237946,4.758155365,11.71673492,12.64842096
0.431539542,-1.276695099,4.654870148,11.48576523,12.45875473
0.441539542,-1.450483704,4.521796875,10.44093796,11.4701236
0.451540542,-0.935704193,4.526886292,9.483079834,10.54974146
0.461540542,-0.381107483,4.64873291,8.760233002,9.924597867
0.471540542,0.322579193,4.885540466,8.13438446,9.494249498
0.481540542,0.997675323,5.035378876,7.739206238,9.286856824
0.491541542,1.330583038,5.113666077,7.570357361,9.232028084
0.501541542,1.350940704,5.248535614,7.586074677,9.323126937
0.511541542,1.096020813,5.484594727,7.902067566,9.68115245
0.521542542,0.838705902,5.707481232,8.616082764,10.36897545
0.531542542,0.589025116,5.89489151,9.397906952,11.10933623
0.541542542,0.36269577,5.94054657,9.748477936,11.42166642
0.551543542,0.260757751,5.832621002,9.373956757,11.04348349
0.561543542,0.349373474,5.647605743,8.768016815,10.43530696
0.571543542,0.5242099,5.447172546,8.218060455,9.873348085
0.581544542,0.712518311,5.292394409,7.88051239,9.51943257
0.591544542,0.871936798,5.240153046,7.713609467,9.365855472
0.601544542,0.894689484,5.244044952,7.75881546,9.407427602
0.611544542,0.777034149,5.253924408,8.011040955,9.6116742
0.621545542,0.583486633,5.257666626,8.231083374,9.784387999
0.631545542,0.429157562,5.306914215,8.320297852,9.877999344
0.641545542,0.390537872,5.446424103,8.34155365,9.96983313
0.651546542,0.332758026,5.518723755,8.387657776,10.04588686
0.661546542,0.375718689,5.531147919,8.458909607,10.11374874
0.671546542,0.325872345,5.497168579,8.438252563,10.076168
0.681547542,0.338745575,5.497917023,8.474477234,10.10735398
0.691547542,0.346230011,5.481750641,8.530460815,10.14584777
0.701547542,0.432301025,5.530848541,8.578660583,10.2161924
0.711548542,0.428409119,5.538931732,8.495733032,10.1509004
0.721548542,0.39667511,5.455255737,8.421637115,10.04196883
0.731548542,0.374521179,5.348078613,8.392896881,9.959062658
0.741548542,0.382754059,5.242697754,8.387657776,9.898746556
0.751549542,0.288899231,5.13896347,8.300089874,9.766468156
0.761549542,0.317190399,5.117108917,8.202941895,9.673348394
0.771549542,0.552800446,5.235961761,8.200696564,9.745373673
0.781550542,0.561931458,5.301375732,8.287965088,9.854476999
0.791550542,0.42122406,5.274581451,8.401129761,9.928626312
0.801550542,0.413889313,5.292693787,8.48779953,10.01132622
0.811551542,0.42122406,5.290149078,8.480464783,10.00406867
0.821551542,0.487835541,5.298531647,8.436156921,9.9740245
0.831551542,0.640218658,5.327122192,8.39304657,9.961492936
0.841552542,0.674048309,5.35077301,8.334667969,9.927326079
0.851552542,0.617615662,5.341641998,8.339008942,9.922381694
0.861552542,0.495170288,5.302573242,8.321195984,9.879513106
0.871552542,0.418379974,5.28760437,8.280330963,9.833497986
0.881553542,0.43409729,5.281467133,8.242010651,9.798626184
0.891553542,0.493074646,5.297783203,8.18123703,9.759214559
0.901553542,0.555494843,5.318440247,8.149802399,9.747495079
0.911554542,0.610879669,5.315895538,8.155340881,9.754050658
0.921554542,0.581091614,5.298831024,8.147407379,9.736299332
0.931554542,0.489182739,5.271138611,8.095465393,9.672681218
0.941555125,0.384550323,5.224884796,8.06657547,9.618572654
0.951555125,0.360600128,5.202281799,8.107440491,9.639728195
0.961555125,0.370030518,5.232219543,8.148006134,9.690358502
0.971556125,0.401165771,5.299579468,8.150999908,9.730635951
0.981556125,0.426762543,5.373376007,8.20234314,9.814974731
0.991556125,0.418379974,5.42681488,8.271798706,9.901919783
1.001556125,0.380059662,5.480852509,8.23392746,9.898573179
1.011557125,0.373473358,5.516628113,8.188571777,9.880555442
1.021557125,0.383652191,5.517376556,8.197403412,9.888683217
1.031557125,0.373922424,5.464985504,8.267906799,9.917871111
1.041558125,0.347577209,5.381459198,8.353977814,9.943332355
1.051558125,0.300425262,5.301824799,8.423732758,9.957854945
1.061558125,0.277971954,5.27712616,8.478369141,9.990399001
1.071559125,0.276325378,5.27712616,8.492140503,10.00204312
1.081559125,0.267493744,5.279970245,8.481362915,9.994156072
1.091559125,0.264499969,5.285808105,8.432714081,9.955922576
1.101560125,0.27961853,5.308860168,8.388555908,9.931266437
1.111560125,0.347726898,5.339396667,8.364306335,9.929334884
1.121560125,0.366437988,5.361400909,8.2970961,9.885378101
1.131561125,0.37092865,5.331163788,8.299042053,9.870815285
1.141561125,0.380508728,5.278772736,8.341403961,9.87872707
1.151561125,0.374970245,5.233267365,8.377628632,9.884955816
1.161561125,0.340841217,5.224136353,8.399483185,9.897428511
1.171562125,0.350570984,5.25482254,8.44094696,9.949153006
1.181562125,0.330063629,5.282065887,8.509205017,10.02076504
1.191562125,0.322878571,5.304818573,8.54513031,10.06303149
1.201563125,0.306113434,5.307063904,8.530460815,10.05123845
1.211563125,0.352816315,5.300028534,8.490344238,10.01502507
1.221563125,0.388142853,5.285808105,8.415499878,9.945403984
1.231564125,0.399968262,5.272036743,8.340655518,9.875266097
1.241564125,0.418379974,5.253475342,8.293503571,9.826303804
1.251564125,0.384101257,5.225333862,8.279732208,9.798245414
1.261565125,0.333057404,5.209616547,8.30413147,9.808650838
1.271565125,0.330063629,5.213059387,8.328830109,9.831293971
1.281565125,0.346679077,5.233866119,8.331075439,9.844813808
1.291565125,0.407003632,5.275329895,8.310418396,9.851792292
1.301566125,0.445323944,5.324876862,8.253985748,9.832645002
1.311566125,0.476459198,5.336253204,8.21521637,9.807772001
1.321566125,0.48319519,5.331912231,8.198002167,9.791322953
1.331567125,0.456251221,5.329966278,8.183332672,9.776688566
1.341567125,0.400567017,5.307812347,8.205187225,9.780512423
1.351567125,0.330662384,5.291645966,8.254584503,9.810658487
1.361568125,0.294737091,5.319488068,8.332871704,9.890428408
1.371568125,0.292192383,5.356461182,8.402926025,9.969263692
1.381568125,0.31120285,5.369933167,8.430319061,10.00016544
1.391569125,0.367485809,5.407205658,8.421637115,10.01483353
1.401569125,0.408949585,5.430557098,8.352480927,9.971064526
1.411569125,0.432750092,5.391488342,8.303981781,9.910173187
1.421569125,0.416134644,5.316045227,8.250093842,9.823316817
1.431570125,0.36973114,5.250780945,8.206534424,9.74959532
1.441570125,0.340092773,5.212161255,8.184679871,9.709339454
1.451570125,0.3264711,5.216651917,8.197852478,9.722387868
1.461571125,0.340841217,5.273084564,8.231682129,9.781727058
1.471571125,0.33350647,5.332960052,8.293054504,9.865416489
1.481571125,0.33230896,5.362299042,8.359216919,9.936860055
1.491572125,0.344882813,5.382507019,8.42343338,10.00222755
1.501572125,0.340841217,5.360053711,8.394992523,9.966054785
1.511572125,0.341439972,5.306465149,8.328530731,9.881274097
1.521573125,0.328417053,5.275180206,8.271948395,9.816339145
1.531573125,0.319884796,5.275629272,8.240064697,9.789446191
1.541573125,0.309855652,5.280419312,8.24440567,9.795359283
1.551574125,0.310005341,5.277724915,8.286468201,9.829345798
1.561574125,0.305215302,5.272785187,8.325536957,9.859512444
1.571574125,0.273331604,5.266947327,8.385711823,9.906341761
1.581574125,0.259560242,5.269192657,8.427325287,9.9424129
1.591575125,0.250878296,5.282365265,8.421337738,9.944106396
1.601575125,0.274529114,5.290897522,8.431067505,9.957502804
1.611575125,0.31704071,5.307812347,8.426726532,9.964090865
1.621576125,0.360450439,5.322182465,8.424181824,9.97107768
1.631576125,0.346679077,5.308261414,8.412655792,9.953421678
1.641576125,0.279169464,5.2606604,8.443042603,9.951756218
1.651577125,0.225131836,5.2314711,8.418194275,9.9138776
1.661577125,0.252524872,5.249733124,8.359665985,9.874587691
1.671577125,0.282312927,5.267097015,8.302185516,9.836071162
1.681578125,0.289647675,5.291645966,8.287965088,9.837468074
1.691578125,0.300425262,5.301375732,8.282725983,9.838617266
1.701578125,0.31120285,5.30287262,8.265960846,9.825650815
1.711578125,0.321381683,5.294340363,8.267008667,9.822258313
1.721579125,0.33111145,5.295986938,8.258177032,9.816037915
1.731579125,0.316292267,5.297184448,8.266409912,9.823122554
1.741579125,0.301772461,5.368436279,8.301586761,9.890779416
1.751580125,0.297431488,5.448669434,8.356073456,9.980001387
1.761580125,0.305664368,5.438340912,8.377029877,9.992177547
1.771580125,0.292192383,5.395380249,8.362959137,9.956635473
1.781581125,0.266595612,5.328319702,8.309669952,9.874850823
1.791581125,0.283510437,5.271437988,8.27479248,9.81532614
1.801581125,0.311951294,5.248834991,8.246950378,9.78058142
1.811582125,0.329165497,5.256768494,8.203241272,9.748596426
1.821582125,0.337997131,5.269492035,8.180638275,9.736766966
1.831582125,0.353864136,5.267546082,8.220754852,9.770008797
1.841582125,0.340392151,5.270988922,8.276439056,9.818280628
1.851583125,0.338745575,5.287304993,8.358318787,9.896051515
1.861583125,0.304616547,5.313201141,8.455616455,9.991013324
