time,x,y,z,absolute
0.001008792,-0.79679306,1.926942902,9.424701233,9.652615265
0.011009792,-0.61432251,2.14354248,9.197024689,9.463478728
0.021009792,-0.499960327,2.386487274,9.183852081,9.502021937
0.031010875,-0.379909973,2.530188446,9.36183197,9.705157546
0.041010875,-0.275576935,2.59530304,9.620943146,9.968655252
0.051011875,-0.200433197,2.572101288,9.815538483,10.14892478
0.061012875,-0.18950592,2.479593658,9.851164398,10.1602036
0.071012875,-0.24099884,2.368524628,9.793534241,10.078755
0.081013875,-0.348774719,2.290087738,9.635013885,9.90957306
0.091013875,-0.469723206,2.217788086,9.482032013,9.74926433
0.101014875,-0.577798462,2.164199524,9.375753021,9.639624233
0.111015875,-0.627345428,2.134561157,9.329948273,9.591550886
0.121015875,-0.655037842,2.115401001,9.3654245,9.623677677
0.131016875,-0.620310059,2.092648315,9.462572479,9.711036992
0.141016875,-0.558787994,2.010469208,9.610914001,9.834830878
0.151017875,-0.507444763,1.926344147,9.795330505,9.995839218
0.161018875,-0.473166046,1.87679718,10.00654129,10.19201267
0.171018875,-0.502205658,1.889221344,10.15473312,10.34117849
0.181019875,-0.562679901,1.971849518,10.09560608,10.3017504
0.191019875,-0.613424377,2.097887421,9.915680237,10.15372521
0.201020875,-0.61552002,2.208657074,9.776170349,10.04144102
0.211021875,-0.564925232,2.270328827,9.745933228,10.02281138
0.221021875,-0.462837524,2.258653107,9.770482178,10.03882734
0.231022875,-0.374221802,2.167342987,9.777667236,10.02198554
0.241022875,-0.321381683,2.050885162,9.809850311,10.02709226
0.251023875,-0.259410553,1.917512512,9.814041595,10.00297758
0.261024875,-0.261655884,1.823358307,9.743987274,9.916571349
0.271024875,-0.328117676,1.791175232,9.622440033,9.79322838
0.281025875,-0.420325928,1.802701263,9.479337616,9.658377057
0.291025875,-0.51597702,1.826651459,9.439370728,9.628323196
0.301026875,-0.557141418,1.83817749,9.510622559,9.702641109
0.311027875,-0.56627243,1.820065155,9.628277893,9.81514324
0.321027875,-0.557740173,1.768272858,9.749226379,9.923974909
0.331028875,-0.580941925,1.733844452,9.915081482,10.08228897
0.341028875,-0.544268188,1.719174957,10.06941055,10.22960504
0.351029875,-0.500559082,1.741478577,10.11341904,10.27446114
0.361030875,-0.456849976,1.784888306,10.06656647,10.23378222
0.371030875,-0.412392426,1.835483093,9.961784363,10.1378604
0.381031875,-0.362845459,1.896107025,9.854906616,10.04221405
0.391031875,-0.312550049,1.927691345,9.811945953,10.00439728
0.401032875,-0.277672577,1.880539398,9.784103851,9.96705667
0.411033875,-0.245639191,1.776805115,9.762698364,9.92610973
0.421033875,-0.199085999,1.701511688,9.738448792,9.88798069
0.431034875,-0.179626465,1.707948303,9.693691864,9.844643977
0.441034875,-0.203876038,1.791624298,9.604627075,9.77242776
0.451035875,-0.277073822,1.922003174,9.485624542,9.682351938
0.461036875,-0.343086548,2.040856018,9.459279327,9.683014358
0.471036875,-0.336350555,2.076332245,9.576784973,9.805054702
0.481037875,-0.298479309,2.035467224,9.735005951,9.950002894
0.491037875,-0.286504211,1.981579285,9.826465759,10.02836828
0.501038875,-0.314346313,1.954186249,9.858349457,10.05508386
0.511039875,-0.400267639,1.961221619,9.80760498,10.00978121
0.521039875,-0.511935425,1.980681152,9.71285202,9.925959403
0.531040875,-0.632883911,2.023641815,9.60986618,9.840995694
0.541040875,-0.744551697,2.087109833,9.580377502,9.833311638
0.551041875,-0.804127808,2.105970612,9.657317505,9.916930732
0.561042875,-0.773890686,2.046095123,9.757459259,9.999671157
0.571042875,-0.685574341,1.984722748,9.745484161,9.969132264
0.581043875,-0.598156128,2.009271698,9.653724976,9.878733189
0.591043875,-0.530496826,2.130519562,9.577533417,9.82597002
0.601044875,-0.533939667,2.267484741,9.535171509,9.815603615
0.611045875,-0.583935699,2.361788635,9.52095108,9.826878239
0.621045875,-0.661923523,2.443967743,9.534872131,9.865338699
0.631046875,-0.763113098,2.515818329,9.587861938,9.941769461
0.641046875,-0.890498199,2.58003479,9.651629333,10.03013038
0.651047875,-1.051413574,2.616858215,9.741442566,10.14145555
0.661048875,-1.159788208,2.574945374,9.877509613,10.27329784
0.671048875,-1.185235291,2.454745331,9.973909149,10.33970121
0.681049875,-1.132844238,2.318827972,9.902357941,10.23313207
0.691049875,-1.048270111,2.239343262,9.693991241,10.00434879
0.701050875,-1.007854156,2.203717346,9.418114929,9.724866527
0.711051875,-0.988843689,2.170935516,9.208999786,9.512962205
0.721051875,-0.983005829,2.180665283,9.16529068,9.472283504
0.731052875,-0.960702209,2.201621704,9.222920837,9.530601011
0.741052875,-0.896635437,2.224823456,9.327403564,9.630900881
0.751053875,-0.768352203,2.231709137,9.469158783,9.758886147
0.761054875,-0.645457764,2.22661972,9.596094818,9.872157153
0.771054875,-0.573457489,2.232906647,9.639953613,9.911782446
0.781055875,-0.596958618,2.243384857,9.580826569,9.858061318
0.791055875,-0.675395508,2.271676025,9.496701508,9.787952318
0.801056875,-0.775836639,2.315834198,9.431137848,9.742246744
0.811057875,-0.872236176,2.357597351,9.384584656,9.715425383
0.821057875,-0.961450653,2.376158752,9.45658493,9.797832226
0.831058875,-1.009949799,2.37406311,9.584419098,9.925586315
0.841058875,-1.002465363,2.293680267,9.682315521,10.00065697
0.851059875,-0.930315399,2.170037384,9.669741669,9.953815998
0.861060875,-0.82373703,2.090103607,9.494306488,9.756481511
0.871060875,-0.776136017,2.099683685,9.346114655,9.610458773
0.881061875,-0.833017731,2.179168396,9.257199554,9.546645329
0.891061875,-0.993334351,2.267933807,9.184600525,9.512472007
0.901062875,-1.181642761,2.323618011,9.166787567,9.530240006
0.911063875,-1.349443817,2.309996338,9.234895935,9.614592276
0.921063875,-1.443148956,2.218386841,9.367370453,9.734040697
0.931064875,-1.489103394,2.04534668,9.51167038,9.842395306
0.941065875,-1.488804016,1.850601654,9.656119995,9.943938719
0.951065875,-1.434017944,1.688039703,9.803264008,10.0503667
0.961066875,-1.349593506,1.66274231,9.886191559,10.11547815
0.971066875,-1.298100586,1.791025543,9.868079224,10.11295334
0.981067875,-1.294208679,1.991608429,9.751022644,10.03613087
0.991068875,-1.301543427,2.142195282,9.698182526,10.01687377
1.001068875,-1.309776306,2.166444855,9.743538208,10.06705191
1.011069875,-1.299447784,2.063608704,9.807305603,10.10595313
1.021069875,-1.255738678,1.900747375,9.813742218,10.07468394
1.03106675,-1.174607391,1.750160522,9.775870972,10.00052087
1.04106775,-1.103205872,1.615290985,9.709858246,9.90492682
1.05106775,-1.078058167,1.55152359,9.613758087,9.797641523
1.06106875,-1.137035522,1.515747986,9.489217072,9.67654806
1.07106875,-1.268013153,1.491049347,9.425449677,9.626535572
1.08106975,-1.422641602,1.432970123,9.449549561,9.662882562
1.09107075,-1.54688324,1.384920044,9.591604156,9.813751657
1.10107075,-1.612446899,1.323847046,9.784103851,10.00406138
1.11107175,-1.608255615,1.266516266,9.977801056,10.18563024
1.12107175,-1.546134796,1.222058716,10.12659164,10.31657979
1.13107275,-1.453627167,1.207987976,10.20383102,10.37740018
1.14107375,-1.375489655,1.212478638,10.19559814,10.35916492
1.15107375,-1.326541443,1.216220856,10.09695328,10.25608945
1.16107475,-1.281634827,1.192420349,9.980345764,10.13270722
1.17107475,-1.235081635,1.150058441,9.893226929,10.03613472
1.18107575,-1.175804901,1.100361786,9.834099884,9.96508072
1.19107675,-1.12446167,1.080153809,9.789193268,9.912590536
1.20107675,-1.063388672,1.099313965,9.757608948,9.876751442
1.21107775,-1.02387085,1.143322449,9.709558868,9.8301084
1.22107875,-1.019978943,1.212328949,9.670490112,9.799412102
