time,x,y,z,absolute
0.000218042,-2.604134674,1.381776581,9.749974823,10.18591346
0.010219042,-2.608475647,1.409768372,9.28818512,9.749973071
0.020219042,-2.610870667,1.212778015,9.17816391,9.619052391
0.030220042,-2.595003662,1.076112213,9.3056987,9.720498434
0.040220042,-2.547702026,1.068029022,9.408085785,9.805281727
0.050221042,-2.486629028,1.140328674,9.472002869,9.859133418
0.060222042,-2.478396149,1.215322723,9.609716492,9.998305249
0.070222042,-2.600242767,1.264420624,9.710457001,10.13178154
0.080223042,-2.725981293,1.209484863,9.492510223,9.949953667
0.090224042,-2.688409424,1.196911011,9.290280762,9.745227439
0.100224042,-2.590662689,1.252445526,9.413923645,9.843887005
0.110225042,-2.556533661,1.258582764,9.600735168,10.01468975
0.120226042,-2.57299942,1.213077393,9.635762329,10.04688004
0.130226042,-2.602937164,1.206191711,9.548194427,9.96986445
0.140227042,-2.608924713,1.221310272,9.457033997,9.886029484
0.150228042,-2.59410553,1.215622101,9.39700882,9.823995895
0.160228042,-2.561024323,1.196761322,9.433981934,9.848405879
0.170229042,-2.528242493,1.197060699,9.52095108,9.923380165
0.180230042,-2.517165527,1.203946381,9.583520966,9.981456972
0.190230042,-2.526895294,1.201401672,9.582622833,9.982746424
0.200231042,-2.537373505,1.197809143,9.522298279,9.927093006
0.210231042,-2.564467163,1.202150116,9.458231506,9.873185907
0.220232042,-2.585722961,1.197958832,9.445807343,9.866323781
0.230233042,-2.596350861,1.204994202,9.458530884,9.882148314
0.240233042,-2.604883118,1.189576263,9.48936676,9.912042638
0.250234042,-2.587968292,1.209933929,9.543105011,9.961544722
0.260235042,-2.547402649,1.232836304,9.5631633,9.973125784
0.270235042,-2.506088562,1.256187744,9.549990692,9.952929707
0.280236042,-2.480342102,1.255588989,9.528136139,9.925420844
0.290237042,-2.542462921,1.206640778,9.546248474,9.952434858
0.300237042,-2.617756348,1.185235291,9.551936646,9.974814518
0.310238042,-2.540816345,1.220262451,9.526489563,9.934726546
0.320239042,-2.476300507,1.222956848,9.508526917,9.901503511
0.330239042,-2.488874359,1.194815369,9.499395905,9.892451763
0.340240042,-2.498454437,1.171763306,9.477840729,9.871411687
0.350240042,-2.462379456,1.179846497,9.504185944,9.888624818
0.360241042,-2.423610077,1.222507782,9.5233461,9.902652777
0.370242042,-2.450254669,1.22864502,9.498647461,9.886233869
0.380242042,-2.533032532,1.198856964,9.450298004,9.857060626
0.390243042,-2.543211365,1.21457428,9.496551819,9.905938177
0.400244042,-2.593656464,1.224453735,9.542506256,9.964224328
0.410244042,-2.589465179,1.21921463,9.564660187,9.983713674
0.420245042,-2.575244751,1.214873657,9.513766022,9.930737508
0.430246042,-2.52734436,1.174008636,9.485325165,9.886210562
0.440246042,-2.487826538,1.058299255,9.445058899,9.824378647
0.450247042,-2.439177704,1.119971008,9.480385437,9.853001115
0.460248042,-2.602488098,1.293011169,9.418414307,9.856538451
0.470248042,-2.910697174,1.354682922,9.372609558,9.907226342
0.480249042,-3.137176208,1.251697083,9.43562851,10.02196116
0.490250042,-3.152594147,1.184786224,9.401798859,9.986810804
0.500250042,-2.997965698,1.219064941,9.529483337,10.06404344
0.510251042,-2.846331024,1.290765839,9.725575562,10.21540487
0.520252042,-2.773432617,1.266665955,9.787546692,10.25146045
0.530252042,-2.675685883,1.188977509,9.605375519,10.04172303
0.540253042,-2.461631012,1.143322449,9.290580139,9.678930353
0.550253042,-2.289788361,1.145118713,9.091194763,9.444800147
0.560254042,-2.209854584,1.17595459,9.034462738,9.374851649
0.570255042,-2.194736023,1.184486847,9.257349243,9.587407904
0.580255042,-2.273322601,1.159937897,9.671987,10.00303874
0.590256042,-2.457290039,1.14556778,9.925709381,10.28932974
0.600257042,-2.607278137,1.178648987,9.864786072,10.27137366
0.610257042,-2.662812653,1.244362335,9.67078949,10.10758023
0.620258042,-2.633773041,1.266366577,9.491911469,9.931607527
0.630259042,-2.561174011,1.233135681,9.384584656,9.805644552
0.640259042,-2.486329651,1.229842529,9.362281036,9.764561126
0.650260042,-2.453398132,1.256187744,9.387728119,9.783997612
0.660261042,-2.463876343,1.282832336,9.469757538,9.868771619
0.670261042,-2.498304749,1.255139923,9.532626801,9.934177196
0.680262042,-2.52509903,1.201102295,9.593849487,9.993033564
0.690264042,-2.533631287,1.159039764,9.580227814,9.977145165
0.700264042,-2.557282104,1.146465912,9.533075867,9.936478819
0.710265042,-2.602188721,1.161285095,9.482032013,9.900954515
0.720265042,-2.638413391,1.190773773,9.478439484,9.9105995
0.730266042,-2.659070435,1.215173035,9.463769989,9.905061508
0.740267042,-2.691702576,1.234033813,9.471703491,9.923772933
0.750267042,-2.714754639,1.231339417,9.476194153,9.933999453
0.760268042,-2.715353394,1.242865448,9.47185318,9.931458163
0.770269042,-2.682272186,1.254391479,9.442813568,9.896201804
0.780269042,-2.590213623,1.277892609,9.434580688,9.866789189
0.790270042,-2.502196655,1.290765839,9.457033997,9.867246656
0.800271042,-2.424059143,1.279090118,9.513316956,9.900269378
0.810271042,-2.454595642,1.224004669,9.512568512,9.900110448
0.820272042,-2.459685059,1.173260193,9.597591705,9.976991361
0.830273042,-2.492616577,1.123713226,9.622440033,10.00336049
0.840273042,-2.520159302,1.089883575,9.575288086,9.961184219
0.850274042,-2.516267395,1.102756805,9.549691315,9.937015567
0.860275042,-2.477348328,1.11862381,9.533075867,9.913027259
0.870275042,-2.483335876,1.108594666,9.471703491,9.854395275
0.880276042,-2.482288055,1.104702759,9.449100494,9.831969402
0.890277042,-2.496059418,1.112935638,9.430539093,9.818554167
0.900277042,-2.539469147,1.119671631,9.456734619,9.855576988
