time,x,y,z,absolute
0.002180625,-2.335892487,3.488795013,9.235943756,10.14547887
0.012179625,-2.389780426,3.46694046,9.338630219,10.24405881
0.022179625,-2.381248169,3.502865753,9.389075317,10.30024983
0.032178625,-2.343825989,3.536396027,9.451495514,10.36003787
0.042178625,-2.312990112,3.516337738,9.441915436,10.33752008
0.052177625,-2.239642639,3.488645325,9.290879517,10.1738433
0.062177625,-2.194436646,3.445085907,9.044641571,9.924198217
0.072176625,-2.115700378,3.371588745,8.818012848,9.674768697
0.082176625,-2.020947418,3.275787964,8.722361755,9.533866469
0.092175625,-1.97858551,3.218307495,8.867559814,9.638771748
0.102175625,-1.972448273,3.29150528,9.148525543,9.920689432
0.112174625,-2.061213684,3.42832077,9.410929871,10.22582936
0.122173625,-2.186203766,3.500470734,9.491462402,10.34991018
0.132173625,-2.271975403,3.496279449,9.483229523,10.35941525
0.142172625,-2.297572174,3.430117035,9.424850922,10.28942932
0.152172625,-2.277813263,3.344046021,9.3455159,10.18379814
0.162171625,-2.217039642,3.33356781,9.24956543,10.07880944
0.172171625,-2.138303375,3.365750885,9.159602509,9.989941865
0.182170625,-2.049837341,3.447929993,9.058862,9.907221361
0.192170625,-2.006577301,3.500021667,8.977880402,9.842704945
0.202169625,-2.072590027,3.500770111,8.890013123,9.77667398
0.212169625,-2.172582092,3.46694046,8.768166504,9.675770406
0.222168625,-2.251318359,3.454815674,8.633296967,9.567549436
0.232168625,-2.251018982,3.544928284,8.618328094,9.586927669
0.242167625,-2.248773651,3.633843384,8.720415802,9.711202419
0.252167625,-2.278412018,3.655997314,8.811725922,9.80836334
0.262166625,-2.265389099,3.699107666,8.920848999,9.919522779
0.272166625,-2.22437439,3.793860626,8.995244293,10.01277383
0.282165625,-2.193388824,3.863316193,9.022787018,10.05717913
0.292164625,-2.174228668,3.90103775,9.003327484,10.05013789
0.302164625,-2.139650574,3.924688568,8.882528687,9.943872525
0.312163625,-2.010918274,3.955973511,8.701854401,9.768100569
0.322163625,-1.828597412,4.02273468,8.471782837,9.554960347
0.332162625,-1.821412354,4.512216797,8.436156921,9.738910975
0.342162625,-1.949695587,5.130131836,8.764424286,10.34092349
0.352161625,-2.005379791,5.51108963,8.98042511,10.72574903
0.362161625,-1.950593719,5.758974152,9.125772858,10.96587112
0.372160625,-1.708696747,5.723946991,9.120234375,10.90237996
0.382160625,-1.44734024,5.647905121,9.011111298,10.73283527
0.392159625,-1.360969849,5.600902863,8.657696228,10.40086803
0.402159625,-1.357377319,5.450465698,8.191415863,9.932237581
0.412158625,-1.310674438,5.174888763,7.861352234,9.502536511
0.422158625,-1.261576538,4.918172607,7.717800751,9.238205756
0.432157625,-1.127006378,4.743934937,7.663912811,9.083535745
0.442157625,-1.007854156,4.548890533,7.795788574,9.08198737
0.452156625,-0.972677307,4.267775116,7.946375427,9.072204143
0.462156625,-0.800235901,3.812721405,8.076454926,8.96695858
0.472155625,0.214204559,0.871637421,6.397546234,6.460203805
0.482154625,-1.661993866,5.04076767,10.49677185,11.76238843
0.492154625,-0.213456116,3.240461426,9.603728943,10.13793684
0.502153625,0.555345154,0.525856476,8.866212616,8.899138128
0.512153625,-0.255518646,0.557740173,8.583600311,8.605495813
0.522152625,-0.279768219,1.638642426,9.348210297,9.494864665
0.532152625,-0.345780945,2.034718781,10.64271835,10.8409916
0.542151625,-0.798589325,1.483564911,11.37813904,11.50220665
0.552151625,-1.119521942,1.353934479,12.10143494,12.22829487
0.562150625,-0.79335022,1.468745728,12.78072235,12.88927781
0.572150625,-0.146694946,1.52113678,12.94358368,13.03348514
0.582149625,-0.347277832,1.890418854,12.29632965,12.44564214
0.592149625,-0.962348785,2.665806427,11.44519958,11.79089618
0.602148625,-1.329535217,3.507805481,10.44363235,11.0969284
0.612148625,-1.359173584,4.098477173,9.53502182,10.46716337
0.622147625,-1.089284821,4.067042542,8.493338013,9.479671252
0.632147625,-1.052461395,3.122506714,7.38444397,8.086268355
0.642146625,-1.46021347,3.299438782,7.735014954,8.535161158
0.652146625,-0.38499939,1.433718567,7.935597839,8.073257492
0.662150167,0.025297394,0.350570984,8.439749451,8.447065216
0.672150167,0.269439697,0.428558807,9.351653137,9.365344457
0.682149167,0.380209351,0.611179047,10.94523926,10.9688815
0.692149167,0.11346405,0.705333252,12.02973404,12.05092819
