time,x,y,z,absolute
-8.025E-05,-2.285896454,6.417155457,10.38944504,12.4235975
0.00991975,-2.08396637,6.461313629,9.900561676,12.00469121
0.01991975,-1.953288116,6.207890625,9.69294342,11.67503287
0.02991975,-1.828447723,5.670957184,9.615254974,11.31176842
0.03991875,-1.562001801,5.350623322,9.527836761,11.03850954
0.04991875,-1.318158875,5.409750366,9.42036026,10.94285745
0.05991875,-1.217418365,5.650000763,9.25420578,10.91077177
0.06991875,-1.214723969,5.414540405,8.888366547,10.47835206
0.07991875,-1.038240967,5.273683319,8.495134277,10.0527104
0.08991875,-0.823287964,5.328319702,8.05609726,9.693786514
0.09991875,-0.46223877,5.701343994,7.732919312,9.618577291
0.10991875,-0.182171173,6.174659729,7.683222656,9.858575936
0.11991875,-0.544567566,5.627248077,7.701933746,9.554174909
0.12991875,-0.985400848,5.177283783,7.829169159,9.437752482
0.13991775,-1.053808594,4.734354858,7.968828735,9.328818783
0.14991775,-1.315314789,4.700974274,8.193361816,9.537315659
0.15991775,-1.146914978,4.729415131,8.152047729,9.494138383
0.16991775,-1.091380463,4.441114655,8.009095001,9.222809411
0.17991775,-0.899329834,4.543202362,7.717950439,9.000902224
0.18991775,-0.650696869,4.587659912,7.316784668,8.66056394
0.19991775,-0.430654449,4.509672089,6.842870178,8.206550912
0.20991775,-0.302820282,4.391417999,6.372997284,7.745408094
0.21991775,-0.214354248,4.330345001,5.920488281,7.338257086
0.22991775,-0.1977388,4.303251343,5.486989746,6.975967978
0.23991775,-0.167501678,4.419260101,5.172194366,6.8051092
0.24991675,-0.177381134,4.588108978,4.96113327,6.759811491
0.25991675,-0.178728333,4.763993225,4.932692413,6.859958434
0.26991675,-0.405656433,4.913981323,4.995411987,7.018967909
0.27991675,-0.243992615,4.738246765,4.945266266,6.853187087
0.28991675,0.003891907,4.789440308,4.903203735,6.854207502
0.29991675,0.04326004,4.791086884,4.888983307,6.845329994
0.30991675,-0.122445374,4.976102142,4.712200928,6.854299598
0.31991675,-0.071102142,5.891748047,3.892655182,7.061905899
0.32991675,0.222437439,5.711672516,3.834875336,6.883236897
0.33991675,0.146994324,5.769302673,4.213737488,7.145771077
0.34991675,-0.050145721,5.581742706,4.61131073,7.240342042
0.35991575,-2.812052307,3.504811707,8.982969818,10.04415701
0.36991575,-5.117108917,-0.442479858,16.83114944,17.59739139
0.37991575,0.690963135,1.381327515,12.20322327,12.30057535
0.38991575,2.289938049,6.594087524,8.865613861,11.28383426
0.39991575,-0.191601563,10.56278458,7.625293121,13.02897634
0.40991575,-2.661315765,7.925269318,8.228838043,11.73056993
0.41991575,-3.17205368,4.612807617,7.776927795,9.582302677
0.42991575,-1.318607941,7.156617737,9.288933563,11.8000081
0.43991575,0.344583435,8.760981445,9.79248642,13.1440604
0.44991575,-0.787212982,7.956703949,9.110504608,12.12147418
0.45991575,-1.454225922,6.868766327,10.09351044,12.29527051
0.46991475,-1.402583313,6.160439301,10.84943848,12.55502161
0.47991475,-1.618733826,5.994284821,11.01349731,12.6431354
0.48991475,-2.037712555,7.243886261,9.703870697,12.27970957
0.49991475,-1.573527832,8.803942108,9.057814178,12.72907633
0.50991475,-0.584384766,9.025032349,8.902886353,12.69070919
0.51991475,0.133222961,8.317154388,8.552914124,11.93084848
0.52991475,1.143322449,7.696245575,8.989556122,11.88913375
0.53991475,1.663490753,7.425608368,9.591304779,12.24336508
0.54991475,1.435963898,7.370522919,9.552685089,12.15073631
0.55991475,1.123114471,6.687343597,9.843829651,11.95336491
0.56991475,0.158071289,5.478756866,10.32118698,11.68625963
0.57991475,-0.768202515,4.042343903,9.541757813,10.39114149
0.58991375,0.487835541,3.908222809,8.236023102,9.129308055
0.59991375,1.057850189,4.907694397,7.194488983,8.772980283
0.60991375,1.126856689,4.617597656,7.442074127,8.830429289
0.61991375,1.248852997,3.921245728,7.150779877,8.250421487
0.62991375,1.382525024,3.753145294,6.705455933,7.807727858
0.63991375,1.610500946,3.792812805,6.641239471,7.815702399
0.64991375,2.019899597,3.812422028,6.857240295,8.101623329
0.65991375,2.030377808,3.784879303,7.334447937,8.499521864
0.66991375,2.779719543,3.997886353,7.855214996,9.241987809
0.67991375,2.862647095,3.857328644,9.367819519,10.52757214
0.68991375,0.822689209,3.167113953,9.304650879,9.863262964
0.69991275,0.741707611,2.231110382,8.77445343,9.083997838
0.70991275,0.701890411,1.74222702,7.722890167,7.948020991
0.71991275,1.25199646,1.769470367,7.165898438,7.486562691
0.72991275,1.69193161,1.355431366,7.406148834,7.716920844
0.73991275,2.759810944,1.11862381,7.102879486,7.701868128
0.74991275,3.751947784,1.277293854,6.677164764,7.764864523
0.75991275,4.132456512,1.268462219,6.362219696,7.691815955
0.76991275,4.376449127,0.733175354,6.666536865,8.008343576
0.77991275,4.468208313,0.235460358,7.488777008,8.723652227
0.78991275,4.457580414,0.307161255,7.820636902,9.007037956
0.79991275,4.75291626,0.767005005,7.08132431,8.562923779
0.80991275,5.099445648,1.118773499,6.010600891,7.961364401
0.81991175,5.051844635,0.794996796,5.957611084,7.851514755
0.82991175,4.829107819,0.309406586,6.709497528,8.272446545
0.83991175,4.385131073,0.145946503,7.368277588,8.57567429
0.84991175,4.329746246,-0.024249573,7.429200897,8.598855538
0.85991175,5.235363007,0.055833893,6.584956512,8.412716298
0.86991175,7.305108948,0.452658691,5.320984955,9.048889298
0.87991175,8.246351624,1.083147583,4.351900177,9.386935546
0.88991175,6.450236664,0.981359253,5.744753723,8.693147551
0.89991175,6.515650635,-0.253572693,7.03566925,9.592634889
0.90991175,7.090006256,-0.039517822,6.607260132,9.691523968
0.91991175,6.72910675,0.666713562,6.536607056,9.404925116
0.92991075,6.640940094,0.777483215,6.692582703,9.460297496
0.93991075,6.715185699,0.929866333,6.535259857,9.41636829
0.94991075,7.335196381,1.086291046,6.004463654,9.54142117
0.95991075,8.171507263,0.610879669,5.965394897,10.13571118
0.96991075,8.333470459,-0.104033661,6.126160583,10.3434712
0.97991075,8.987909546,-0.590821381,6.706204376,11.2296378
0.989911375,8.638087006,-0.881965942,6.465055847,10.82549575
0.999911375,7.260052643,-1.120420074,6.009403381,9.490871115
1.009911375,7.986342316,-1.424587555,6.633305969,10.47911549
1.019911375,8.180787964,-1.64043869,6.518644409,10.58815639
1.029911375,8.543783112,-1.848056946,6.592440948,10.94859909
1.039911375,9.536818085,-2.249073029,6.54783371,11.78487823
1.049910375,10.47940796,-2.570604401,6.958130493,12.83906453
1.059910375,10.41608963,-3.739822998,9.549391937,14.61752666
1.069910375,9.951755219,-5.87154007,11.18114868,16.07888369
1.079910375,10.30906219,-6.591991882,10.17808456,15.91617183
1.089910375,10.60245209,-5.997428284,8.554411011,14.8848609
1.099910375,10.1948497,-5.998925171,8.029302979,14.29656497
1.109910375,9.570498047,-6.699169006,8.869954834,14.66797181
1.119910375,8.894054718,-7.275470581,10.46863037,15.54441711
1.129910375,8.569230194,-7.924520874,12.2054686,16.88796023
1.139910375,8.66098938,-8.792116699,11.03565125,16.55595517
1.149910375,9.092392273,-8.690627747,8.825197906,15.36498376
1.159910375,8.665330353,-8.677455139,8.180937653,14.74157111
1.169909375,7.828420715,-10.00654129,8.130492554,15.08376441
1.179909375,7.143145752,-10.83566711,8.400830383,15.45995356
1.189909375,6.434070282,-10.84824097,8.419391785,15.16468762
1.199909375,5.87498291,-10.82099762,7.959398346,14.66156321
1.209909375,5.370980988,-10.66172882,7.195686493,13.93907466
1.219909375,5.003794556,-10.53344559,6.199957123,13.20722924
1.229909375,4.707111511,-10.46324158,4.843927002,12.45391312
1.239909375,4.462071075,-10.02854553,4.003724213,11.68381835
1.249909375,3.988455963,-9.648036804,3.520529022,11.01755507
1.259909375,3.529061279,-9.075327759,3.030148773,10.19792376
1.269909375,2.978805542,-8.453520813,2.445165253,9.290539796
1.279909375,2.377955017,-8.4351091,2.146236877,9.022863644
1.289908375,1.887574768,-8.750203857,2.14473999,9.204831105
1.299908375,1.434766388,-8.605005798,2.139949951,8.982430917
1.309908375,0.941392365,-8.534951477,2.19039505,8.861684195
1.319908375,1.152902527,-8.585995331,2.189047852,8.935347254
1.329908375,1.549427948,-8.882678375,2.006277924,9.237307681
1.339908375,1.582209778,-8.998238068,1.730251923,9.298679897
1.349908375,1.470691681,-8.812474365,1.167122955,9.010261619
1.359908375,1.356928253,-8.662486267,0.876277771,8.811798077
1.369908375,1.173110504,-8.974138184,0.654439087,9.074118961
1.379908375,1.67905838,-10.2134111,1.840422821,10.51285687
1.389908375,3.380869446,-7.61256958,-2.735561371,8.767256688
1.399907375,2.559527435,-3.441044312,-3.002007294,5.234884377
1.409907375,0.164058838,-5.523513794,-1.199156342,5.654564162
1.419907375,-0.12633728,-6.42254425,0.342936859,6.432934124
1.429907375,-0.185614014,-6.404731293,0.54052597,6.430179144
1.439907375,-0.187559967,-6.875352631,-0.049846344,6.878091101
1.449907375,-0.569415894,-8.919651489,-0.319735107,8.943525462
1.459907375,-1.494791565,-9.262588348,2.424508209,9.69062355
1.469907375,-1.579814758,-9.768536224,3.550317078,10.51308071
1.479907375,-0.903670807,-10.31145721,4.109404449,11.13687459
1.489907375,-1.331331482,-10.18646713,4.564607849,11.24153908
1.499907375,-1.901046753,-9.845176849,4.503085785,10.99178182
1.509907375,-2.268682251,-9.889185333,4.664150848,11.16679045
1.519906375,-2.480491791,-9.93289444,5.004992065,11.39584034
1.529906375,-2.021845551,-9.804611206,4.797673187,11.10116788
1.539906375,-1.45093277,-9.68246521,4.395309906,10.7319191
1.549906375,-0.849932556,-9.222771149,3.657194824,9.957759135
1.559906375,-0.20477417,-8.431067505,2.505639496,8.797900944
1.569906375,0.048648834,-7.417824554,1.235830078,7.520223654
1.579906375,-0.067060547,-6.788383484,0.536634064,6.809891597
1.589906375,-0.478854218,-6.678362274,0.569415894,6.719676963
1.599906375,-1.114881592,-7.337142334,0.730930023,7.457270096
1.609906375,-1.793420563,-8.458610229,1.340163116,8.749884657
1.619906375,-2.334096222,-8.855884094,1.68025589,9.311173294
1.629906375,-2.352957001,-8.526269531,1.597028961,8.988002018
1.639905375,-2.101629639,-7.496261444,1.524878998,7.933223729
1.649905375,-2.136207733,-7.113507385,1.829495544,7.649341458
1.659905375,-2.261497192,-6.983876953,1.982926483,7.604005805
1.669905375,-2.090103607,-7.786657562,1.854942627,8.272930631
1.679905375,-2.004631348,-8.060438232,1.465302887,8.434235228
1.689905375,-2.220183105,-8.745862885,0.795445862,9.058259476
1.699905375,-2.535128174,-9.30450119,0.354612579,9.650200378
1.709905375,-2.751578064,-10.07644592,0.182620239,10.44697537
1.719905375,-3.845802612,-13.38321945,0.229772186,13.92672093
1.729905375,-5.751340027,-15.35432053,1.224004669,16.44175351
1.739905375,-7.342082062,-16.37040756,1.779200134,18.02947492
1.749905375,-7.168592834,-16.3805864,1.660496979,17.95743813
1.759904375,-4.95065506,-13.83393219,1.318458252,14.75211841
1.769904375,-2.177222443,-11.30389343,0.035476227,11.51171416
1.779904375,-0.814306641,-10.81905167,-1.063089294,10.90161149
1.789904375,-1.084045715,-11.21318207,-0.790057068,11.29313054
1.799904375,-2.149679718,-11.97255295,-0.354612579,12.16917816
1.809904375,-3.980971527,-12.94088928,0.772393799,13.56139159
1.819904375,-6.073021088,-14.05472305,2.5414151,15.52016804
1.829904375,-6.910828857,-13.61703323,3.540437622,15.67538989
1.839904375,-6.423143005,-12.88745041,3.741619263,14.87759587
1.849904375,-5.713169403,-11.84666473,3.202889557,13.53670091
1.859904375,-4.396208038,-11.04702759,2.215542755,12.09430004
1.869903375,-3.180436249,-10.1577269,1.355880432,10.73000476
1.879903375,-2.230811005,-9.576485596,1.346300354,9.924621844
1.889903375,-2.069596252,-9.824819183,2.463127899,10.33814779
1.899903375,-1.613345032,-9.430090027,2.88899231,9.993785903
1.909903375,-1.651216278,-8.601562958,3.490890656,9.428664703
1.919903375,-2.145488434,-8.54752533,3.887865143,9.63217552
1.929903375,-2.402054901,-7.777676239,3.423231354,8.830664093
1.939903375,-2.213596802,-6.006858673,2.013013916,6.710781396
1.949903375,-1.679956512,-3.698359222,-0.335901489,4.075898015
1.959903375,-1.553469543,-1.541344757,-2.144440613,3.063925068
1.969903375,-1.955533447,-0.135168915,-3.572920074,4.075308523
1.979903375,-3.298540649,-0.605490875,-4.022285614,5.236962018
1.989901458,-3.994892578,-2.27586731,-2.832260284,5.400040467
1.999901458,-3.694167938,-3.533102875,-1.317111053,5.278681105
2.009901458,-4.054468689,-5.479954376,0.407752075,6.828973427
2.019901458,-4.862189026,-8.140970764,2.314037933,9.760689456
2.029901458,-5.295238495,-9.724827118,3.279081116,11.54834127
2.039901458,-4.828059998,-10.17104919,4.117637329,11.98813339
2.049901458,-3.985162811,-9.653575287,3.912414093,11.15257919
2.059901458,-3.337609406,-9.048533478,4.584516449,10.67864157
2.069901458,-2.076631622,-8.764873352,5.003495178,10.30390061
2.079901458,-0.948278046,-7.639064484,4.691244507,9.014561135
2.089901458,-0.757873993,-7.408843231,2.90994873,7.995819697
2.099900458,-1.442550201,-8.375383301,2.90411087,8.981194601
2.109900458,-2.265688477,-8.965905304,2.363884277,9.545090417
2.119900458,-3.226839752,-9.879156189,1.956730957,10.57539682
2.129900458,-4.184099121,-10.32612671,1.695224762,11.26984318
2.139900458,-4.27780426,-10.25113266,1.318607941,11.18588651
2.149900458,-3.705993347,-10.89464447,1.556762695,11.61254386
2.159900458,-3.351829834,-12.11475723,3.242856445,12.98145693
2.169900458,-3.212918701,-13.25089462,5.866600342,14.8433842
2.179900458,-3.915856934,-13.8111795,8.098309479,16.48227021
2.189900458,-4.344116364,-13.7819902,8.354127502,16.69149626
2.199900458,-3.311413879,-13.57571915,7.121590576,15.6838345
2.209899458,-2.217788086,-13.29654968,5.040168915,14.39166843
2.219899458,-1.325194244,-13.00899765,2.040406952,13.23455402
2.229899458,-0.646804962,-13.66478394,-0.58857605,13.69273889
2.239899458,-0.797541504,-13.7528009,-2.812351685,14.0600472
2.249899458,0.260308685,-12.55903336,-6.784940643,14.27699194
2.259899458,0.68093399,-11.5246843,-8.3860112,14.26909959
2.269899458,0.539927216,-10.23302032,-8.629554749,13.39684446
2.279899458,-0.132025452,-9.147926788,-7.366631012,11.74603115
2.289899458,-0.728684692,-7.961793365,-5.265300751,9.5731148
2.299899458,-0.71491333,-6.091732178,-3.351231079,6.989352741
2.309899458,-0.754580841,-5.735473022,-1.115929413,5.89154831
2.319899458,-1.96690979,-5.074896698,1.043629761,5.541883587
2.329898458,-2.536924438,-4.5586203,2.460134125,5.767951505
2.339898458,-2.454745331,-4.248764648,3.445385284,5.995703081
2.349898458,-2.354453888,-3.999083862,3.834575958,6.019974886
2.359898458,-2.069296875,-4.363575897,3.663930817,6.061944671
2.369898458,-1.267414398,-5.319488068,3.049757996,6.261335033
2.379898458,-0.480800171,-7.472760315,2.406246185,7.865324929
2.389898458,0.089364166,-12.57430161,2.834355927,12.89009776
2.399898458,1.664239197,-16.44345566,6.237079926,17.66516606
2.409898458,2.586022339,-15.22124725,7.468569031,17.15090093
2.419898458,0.450862427,-15.03204071,6.861730957,16.53024127
2.429898458,-0.856369171,-14.66230957,6.043831787,15.88220995
2.439897458,-1.648821259,-12.92636948,4.0450383,13.64448512
2.449897458,-3.602408752,-12.06356369,1.989812164,12.74622572
2.459897458,-4.95529541,-11.82331329,0.314046936,12.82358434
2.469897458,-4.261039124,-11.871064,-0.799337769,12.63794112
2.479897458,-2.386487274,-11.61300064,-0.654888153,11.87375189
2.489897458,-1.025966492,-11.05406296,0.180374908,11.10303788
2.499897458,0.443527679,-11.75520493,1.166673889,11.82128113
2.509897458,1.747316437,-11.91177933,1.824705505,12.17674635
2.519897458,2.093396759,-10.75214081,2.337539063,11.20066653
2.529897458,2.471360779,-8.816965027,2.855312347,9.591626816
2.539897458,2.241588593,-6.309229889,3.288661194,7.459651041
2.549896458,1.854792938,-4.630620575,4.58436676,6.774903862
2.559896458,-0.675844574,-1.241218872,3.554508362,3.82516926
2.569896458,-6.912475433,-4.518054657,2.331551514,8.580866329
2.579896458,-7.740852814,-4.921316071,4.891827393,10.3956784
2.589896458,-8.734486542,-3.784430237,3.705544281,10.21490214
2.599896458,-9.390272827,-5.670358429,2.174977112,11.18305477
2.609896458,-8.264014893,-7.049590302,1.41815094,10.95453411
2.619896458,-6.074068909,-5.818400574,0.628692627,8.434651905
2.629896458,-3.518882446,-3.914060669,-0.07259903,5.263808052
2.639896458,-0.990789642,-5.332810364,-0.775387573,5.479211292
2.649896458,1.723066864,-7.835905151,-0.709524536,8.054426983
2.659896458,6.917714539,-10.71965836,4.384831696,13.49046325
2.669895458,7.54700592,-10.14994308,5.420677643,13.76090074
2.679895458,5.406307526,-11.85654419,2.039957886,13.18966373
2.689895458,3.059487762,-11.92330536,1.33971405,12.38226594
2.699895458,0.894539795,-11.6294664,1.323248291,11.73864031
2.709895458,-0.995429993,-11.53366562,2.12842392,11.77057823
2.719895458,-1.323248291,-11.80175812,2.478994904,12.13168976
