time,x,y,z,absolute
-0.001382042,-3.219205627,4.328997803,8.09696228,9.729558316
0.008616958,-3.201542358,4.671784973,8.191565552,9.958774749
0.018616958,-3.332070923,4.539160767,8.279432831,10.01277609
0.028615958,-3.454815674,4.384532318,8.209079132,9.927177604
0.038615958,-3.423979797,4.428989868,8.284073181,9.99827272
0.048614958,-3.315605164,4.493056641,8.391250305,10.07937881
0.058614958,-3.248843994,4.428540802,8.429121552,10.06066852
0.068613958,-3.28087738,4.316573639,8.434809723,10.02711222
0.078613958,-3.318299561,4.290527802,8.423882446,10.01905865
0.088612958,-3.343896332,4.356091461,8.346643066,9.991177407
0.098612958,-3.326233063,4.443060608,8.26551178,9.956068448
0.108611958,-3.269800415,4.526287537,8.20114563,9.921575644
0.118610958,-3.193010101,4.546046448,8.165968781,9.876482063
0.128610958,-3.158581696,4.524640961,8.136629791,9.831264339
0.138609958,-3.151696014,4.492906952,8.142916718,9.819699248
0.148609958,-3.150797882,4.491709442,8.148754578,9.823705114
0.158608958,-3.185974731,4.498595123,8.178093567,9.862505131
0.168608958,-3.248245239,4.458777924,8.214916992,9.89528468
0.178607958,-3.317551117,4.42764267,8.234975281,9.920936594
0.188607958,-3.353027344,4.404590607,8.228688354,9.917384878
0.198606958,-3.384012909,4.39486084,8.225993958,9.921356851
0.208606958,-3.379073181,4.427193604,8.207282867,9.918551852
0.218605958,-3.354973297,4.474794617,8.173303528,9.903662113
0.228605958,-3.334615631,4.516258392,8.168812866,9.911899662
0.238604958,-3.301384735,4.532724152,8.207282867,9.940031261
0.248604958,-3.27863205,4.475393372,8.216413879,9.914032025
0.258603958,-3.250789948,4.424499207,8.164771271,9.839071014
0.268602958,-3.222947845,4.396357727,8.218060455,9.861636361
0.278602958,-3.174897766,4.403842163,8.25024353,9.876250297
0.288601958,-3.164868622,4.45563446,8.214916992,9.866809668
0.298601958,-3.181035004,4.486320648,8.19291275,9.867617544
0.308600958,-3.226240997,4.498894501,8.216563568,9.907603119
0.318600958,-3.267555084,4.471202087,8.190068665,9.886647008
0.328599958,-3.265459442,4.44635376,8.116571503,9.813868762
0.338599958,-3.248694305,4.449946289,8.128396912,9.819718581
0.348598958,-3.232527924,4.470453644,8.14965271,9.841292184
0.358598958,-3.242108002,4.546645203,8.17539917,9.900525162
0.368597958,-3.279081116,4.600383453,8.202941895,9.960128343
0.378597958,-3.306025085,4.613256683,8.159831543,9.939556826
0.388596958,-3.317102051,4.643493805,8.088579712,9.899006136
0.398596958,-3.339854736,4.671784973,7.980654144,9.832143462
0.408595958,-3.354075165,4.633764038,7.751929779,9.634002526
0.418594958,-3.314407654,4.392316132,7.876021729,9.607781084
0.428594958,-3.37682785,4.118984528,8.283923492,9.848471369
0.438593958,-3.284769287,4.215982819,8.141719208,9.739189497
0.448593958,-3.278033295,4.318369904,8.027506714,9.68683049
0.458592958,-3.285368042,4.235142975,8.195008392,9.79225417
0.468592958,-3.240910492,4.11988266,8.344248047,9.854106221
0.478591958,-3.180436249,4.007017365,8.047115936,9.535587962
0.488591958,-3.143612823,3.971990204,7.996521149,9.465905041
0.498590958,-3.141966248,4.022435303,8.182584229,9.643994106
0.508590958,-3.194806366,4.148622894,8.305029602,9.817910996
0.518589958,-3.314108276,4.268673248,8.281528473,9.8888118
0.528589958,-3.464994507,4.337679749,8.200097809,9.902689362
0.538588958,-3.549119568,4.41117691,8.256829834,10.01149191
0.548588958,-3.617976379,4.489314423,8.267158356,10.07916685
0.558587958,-3.603456573,4.524940338,8.160879364,10.00299637
0.568586958,-3.586841125,4.529730377,8.09112442,9.942342829
0.578586958,-3.597618713,4.51655777,8.040080566,9.898739819
0.588585958,-3.606600037,4.499642944,7.952812042,9.823521254
0.598585958,-3.623963928,4.511767731,7.842042389,9.746116736
0.608584958,-3.63189743,4.512216797,7.689659271,9.627130366
0.618584958,-3.652105408,4.484674072,7.551346893,9.511730408
0.628583958,-3.709286499,4.494403839,7.505542145,9.502191068
0.638583958,-3.836222534,4.5387117,7.516469421,9.581952817
0.648582958,-3.962859192,4.568499756,7.539671173,9.665510043
0.658582958,-4.057612152,4.564308472,7.490124207,9.664320402
0.668581958,-4.095483398,4.540507965,7.4265065,9.619885428
0.678581958,-4.070335693,4.493356018,7.335495758,9.516689497
0.688580958,-4.060306549,4.478686523,7.224426727,9.420035233
0.698579958,-4.052522736,4.446503448,7.134763184,9.332694098
0.708579958,-4.1432341,4.431384888,7.0708461,9.316674589
0.718578958,-4.290228424,4.436324615,7.077282715,9.390152643
0.728578958,-4.461921387,4.45099411,7.088209991,9.484872794
0.738577958,-4.617897034,4.470004578,7.104376373,9.580087557
0.748577958,-4.777914276,4.456682281,7.117548981,9.661779613
0.758576958,-4.878654785,4.443509674,7.139702911,9.722212114
0.768576958,-4.922962646,4.409380646,7.222630463,9.79002501
0.778575958,-4.985831909,4.387975159,7.337741089,9.897236488
0.788575958,-5.003644867,4.364923096,7.437284088,9.970065707
0.798574958,-4.991969147,4.348756714,7.468119965,9.980193221
0.808574958,-4.971910858,4.323010254,7.499853973,9.982791436
0.81857425,-4.967719574,4.302802277,7.597750397,10.04580292
0.82857325,-5.003644867,4.299060059,7.711813202,10.14842068
0.83857325,-5.028942261,4.327051849,7.815397797,10.25154041
0.84857225,-4.98927475,4.341721344,7.921377411,10.31947803
0.85857225,-4.893773346,4.327351227,8.047115936,10.36489561
0.86857125,-4.745581512,4.33633255,8.089777222,10.33289985
0.87857125,-4.5984375,4.371060333,8.107440491,10.29477475
0.88857025,-4.502786407,4.370611267,8.115972748,10.25896398
0.89857025,-4.392914886,4.328848114,8.180787964,10.24509243
