time,x,y,z,absolute
0.00243575,-1.534608765,4.459376678,8.931476898,10.10011604
0.01243575,-1.629810791,4.466561737,8.926836548,10.11409253
0.02243575,-1.610351257,4.41940979,9.021888885,10.17442348
0.03243575,-1.558109894,4.354444885,9.099277954,10.2071424
0.04243475,-1.552571411,4.275109863,9.073381805,10.14954677
0.05243475,-1.504371643,4.237537994,8.910071411,9.980442618
0.06243475,-1.39240448,4.233047333,8.714278564,9.787549788
0.07243475,-1.306483154,4.083358612,8.623716888,9.630639063
0.08243375,-1.274449768,3.92798172,8.55800354,9.502246429
0.09243375,-1.949845276,3.629502411,6.788682861,7.941120786
0.10243375,-0.78391983,4.408033447,7.441325684,8.684389276
0.11243375,-0.216300201,4.941074982,10.2744841,11.40289574
0.12243275,-1.408271484,4.165238342,10.65244812,11.52419585
0.13243275,-1.938169556,3.648063812,8.605903931,9.546017665
0.14243275,-1.633103943,4.437372437,8.174051971,9.44311539
0.15243275,-1.45437561,5.400469666,8.663833466,10.31223988
0.16243275,-1.446891174,5.234165497,8.590036926,10.16261369
0.17243175,-1.701362,4.753515015,8.104746094,9.548688229
0.18243175,-1.801803131,4.743036804,8.396938477,9.810783273
0.19243175,-1.91661438,4.582720184,8.546926575,9.885579844
0.20243175,-1.826651459,4.479734344,8.431965637,9.721250941
0.21243075,-1.531914368,4.442162476,8.2771875,9.517951565
0.22243075,-1.327439575,4.433929596,8.1484552,9.371187205
0.23243075,-1.302890625,4.506079559,8.157586212,9.410020711
0.24243075,-1.35617981,4.57733139,8.224347382,9.50952555
0.25242975,-1.290167084,4.635709991,8.316256256,9.608041234
0.26242975,-1.121318207,4.755011902,8.465346222,9.773923438
0.27242975,-1.061592407,4.649780731,8.652008057,9.879508222
0.28242975,-1.075214081,4.445455627,8.806786194,9.923590284
0.29242975,-1.126257935,4.369713135,8.777596893,9.869602679
0.30242875,-1.223256226,4.364623718,8.555758209,9.682318655
0.31242875,-1.249751129,4.331991577,8.29245575,9.438900957
0.32242875,-1.282233582,4.234843597,8.172255707,9.293211855
0.33242875,-1.32923584,4.169878693,7.981701965,9.102874408
0.34242775,-1.352287903,4.188589783,7.761659546,8.922798095
0.35242775,-1.265318756,4.299209747,7.546107788,8.77655848
0.36242775,-1.183289337,4.389921112,7.352410583,8.644623902
