time,x,y,z,absolute
-0.001634333,2.340682526,2.924468536,9.11963562,9.858958604
0.008365667,2.727927246,3.112327881,8.983418884,9.890904243
0.018365667,3.003204803,3.299438782,9.028924255,10.07109768
0.028365667,3.032543793,3.315904541,9.011410675,10.06961107
0.038365667,2.941383362,3.196452942,9.019793243,10.01127952
0.048363792,2.77433075,3.31949707,8.913813629,9.908180727
0.058363792,2.684367828,3.113076324,9.07637558,9.963817968
0.068363792,2.500400391,2.733465729,9.089997253,9.815899708
0.078363792,2.547402649,2.545756073,8.661288757,9.380194943
0.088363792,2.727178802,2.362088013,8.426876221,9.166744615
0.098363792,2.96263916,2.046244812,8.516689453,9.246531667
0.108362792,3.344644775,1.74222702,8.489895172,9.289796752
0.118362792,3.760180664,1.501527557,8.475225677,9.392709615
0.128362792,3.968098297,1.203796692,8.318202209,9.294483233
0.138362792,3.988006897,0.79215271,7.541766815,8.567960762
0.148362792,3.834276581,-0.201481018,8.350534973,9.19095783
0.158362792,3.277584229,-0.759969635,7.766599274,8.464052014
0.168361792,3.077749786,-0.7909552,9.138047333,9.674815912
0.178361792,2.528841248,-0.335153046,10.40546173,10.71358948
0.188361792,1.837429047,0.596659241,10.5359903,10.71164036
0.198361792,0.866098938,1.582209778,10.12569351,10.28509525
0.208361792,0.364492035,2.131118317,9.578132172,9.819120919
0.218361792,-0.105231171,2.324665833,9.051527252,9.345870234
0.228360792,-0.335602112,2.290237427,8.861422577,9.158745893
0.238360792,-0.275427246,2.439327393,8.695268097,9.035146129
0.248360792,-0.00823288,2.753374329,8.643775177,9.07171358
0.258360792,0.278720398,3.103945313,8.598718872,9.14604438
0.268360792,0.580792236,3.226240997,8.516090698,9.1252261
0.278359792,0.93136322,3.096610565,8.421936493,9.021388404
0.288359792,0.741557922,2.7789711,8.252788239,8.739628266
0.298359792,0.209863586,2.538421326,7.935597839,8.334346922
0.308359792,-0.201181641,2.50983078,7.760611725,8.158849119
0.318359792,-0.791404266,2.501747589,7.73187149,8.164980004
0.328359792,-1.025367737,2.820135498,6.817123718,7.448336661
0.338358792,0.065863037,2.896027679,6.560407562,7.1714895
0.348358792,1.740281067,1.115330658,11.82241516,12.00175158
0.358358792,1.824705505,-0.349223785,11.49833908,11.64745934
0.368358792,0.771645355,-0.300275574,2.463576965,2.599002393
0.378358792,0.884061584,-0.182171173,1.111139374,1.43156625
0.388358792,0.223335571,0.092807007,11.8828894,11.88535033
0.398357792,-0.38499939,0.826880493,12.39317825,12.426698
0.408357792,0.993933105,0.898282013,9.537117462,9.630754024
0.418357792,2.34487381,0.482895813,9.262139282,9.566548261
0.428357792,2.792443085,0.136665802,8.917555847,9.345545367
0.438357792,2.45714035,0.001047821,7.962092743,8.332614274
0.448357792,1.933978271,0.269589386,6.962621155,7.231254645
0.458356792,2.819387054,0.802930298,11.212733,11.58960835
0.468356792,3.521576843,1.415905609,18.3299826,18.71882888
0.478356792,0.502505035,0.944685516,9.792187042,9.850475578
0.488356792,-0.59561142,1.025517426,6.548582153,6.655100839
0.498356792,-0.785566406,1.129850464,9.688153381,9.785396905
0.508356792,-2.146386566,1.008003845,9.785001984,10.06823276
0.518355792,-2.48992218,0.893192596,9.906100159,10.25321051
0.528355792,-1.388213196,1.221160583,9.141639862,9.326732998
0.538355792,-0.553099823,1.698368225,6.938221893,7.164446739
0.548355792,-1.474134521,1.952090607,6.149661713,6.618313192
