time,x,y,z
0.032701143,-4.94682312,-2.640151978,6.49420166
0.035173067,-4.889358521,-2.674865723,6.61630249
0.037644991,-4.691833496,-2.649734497,6.643844604
0.040116914,-4.535018921,-2.757476807,6.574401855
0.042588838,-4.440444946,-2.762252808,6.643844604
0.045060762,-4.324325562,-2.820922852,6.639053345
0.047532686,-4.289611816,-2.832885742,6.600738525
0.049974092,-4.155532837,-2.805358887,6.677352905
0.052446016,-4.080123901,-2.818527222,6.72644043
0.054887422,-4.044204712,-2.826904297,6.806640625
0.057359346,-4.002304077,-2.838867188,6.85333252
0.05983127,-3.922103882,-2.796981812,6.92515564
0.062303194,-3.847885132,-2.783813477,7.019729614
0.064775118,-3.747329712,-2.770645142,7.026916504
0.067247041,-3.716201782,-2.783813477,7.103530884
0.069688448,-3.645568848,-2.804153442,7.14781189
0.072160371,-3.613250732,-2.743103027,7.181335449
0.074632295,-3.551010132,-2.715576172,7.274703979
0.077104219,-3.529449463,-2.705993652,7.311813354
0.079576143,-3.511505127,-2.702407837,7.387237549
0.082017549,-3.513900757,-2.691635132,7.443496704
0.084489473,-3.473190308,-2.624588013,7.453079224
0.086930879,-3.462417603,-2.695220947,7.582366943
0.089402803,-3.474395752,-2.648529053,7.591934204
0.091874727,-3.419326782,-2.634170532,7.588348389
0.094346651,-3.401367188,-2.630584717,7.597930908
0.096788057,-3.348693848,-2.564743042,7.594329834
0.099259981,-3.254119873,-2.530014038,7.547653198
0.101731905,-3.202651978,-2.492904663,7.534484863
0.104203828,-3.124832153,-2.474960327,7.471038818
0.106645235,-3.015899658,-2.472564697,7.444702148
0.109117159,-2.930908203,-2.467773438,7.345336914
0.111589082,-2.802810669,-2.483337402,7.347732544
0.114061006,-2.678314209,-2.512069702,7.293869019
0.11653293,-2.614868164,-2.549179077,7.230422974
0.118974336,-2.464035034,-2.551574707,7.159790039
0.12144626,-2.383834839,-2.619796753,7.143035889
0.123918184,-2.34312439,-2.635360718,7.153808594
0.126390108,-2.260528564,-2.641357422,7.15020752
0.128862032,-2.26171875,-2.656921387,7.176544189
0.131333955,-2.258132935,-2.668884277,7.230422974
0.133805879,-2.247360229,-2.696411133,7.245986938
0.136277803,-2.312011719,-2.692825317,7.321395874
0.138749727,-2.424530029,-2.702407837,7.356109619
0.141191133,-2.558609009,-2.684448242,7.407592773
0.143663057,-2.714233398,-2.676071167,7.362091064
0.146104463,-2.872253418,-2.753875732,7.342941284
0.148576387,-3.003921509,-2.765853882,7.256759644
0.151048311,-3.112869263,-2.824508667,7.177749634
0.153520235,-3.254119873,-2.895141602,7.163375854
0.155961641,-3.378616333,-3.033996582,7.235198975
0.158433565,-3.480377197,-3.067520142,7.253158569
0.160905489,-3.539031982,-3.150115967,7.329772949
0.163377412,-3.621627808,-3.227935791,7.371673584
0.165818819,-3.730575562,-3.254272461,7.432723999
0.168290743,-3.833526611,-3.305740356,7.497375488
0.170762666,-3.908935547,-3.311721802,7.608703613
0.17323459,-3.978363037,-3.371582031,7.564407349
0.175675996,-4.235748291,-3.435028076,7.582366943
0.17814792,-4.363830566,-3.518829346,7.647003174
0.180619844,-4.47038269,-3.546356201,7.643417358
0.183091768,-4.605651855,-3.630157471,7.635040283
0.185533174,-4.768447876,-3.63973999,7.681716919
