time,x,y,z,absolute
0.0079071930,-1.752555609,3.172317266,6.004657745,7.013626925
0.0098908350,-1.747767210,3.114856482,6.086060524,7.056709844
0.0119049950,-1.745373011,3.062183857,6.227318764,7.155612895
0.0139191560,-1.738190413,3.043030262,6.397306919,7.294304278
0.0158417630,-1.707065821,3.043030262,6.567295074,7.436630385
0.0178254060,-1.647210717,3.055001259,6.708553314,7.553212787
0.0197785310,-1.572990537,3.071760893,6.804321289,7.629469340
0.0217926910,-1.493981838,3.090914488,6.895300865,7.702655914
0.0237458160,-1.429338455,3.102885485,7.010222435,7.798341191
0.0257294580,-1.357512355,3.107673883,7.177816868,7.938610190
0.0277131010,-1.273715258,3.107673883,7.407660007,8.133474922
0.0296967430,-1.175553083,3.129221678,7.694964409,8.389662128
0.0316803860,-1.077390790,3.157952070,8.020575523,8.686947906
0.0336640290,-1.003170490,3.172317266,8.343792915,8.982696037
0.0355866360,-0.943315446,3.174711466,8.638279915,9.251406207
0.0375702790,-0.905008256,3.157952070,8.884882927,9.472742256
0.0394928860,-0.890643060,3.122039080,9.074024200,9.637338236
0.0415070460,-0.885854602,3.066972494,9.188945770,9.727681277
0.0434601710,-0.871489406,3.007117271,9.236829758,9.753013485
0.0454743310,-0.845153213,2.961627483,9.227252960,9.727677960
0.0473969390,-0.806845963,2.932897091,9.169792175,9.661158020
0.0494110990,-0.758961916,2.896984100,9.085995674,9.566810203
0.0513337060,-0.694318473,2.849100113,9.006986618,9.472341713
0.0533478660,-0.617704034,2.789244890,8.913613319,9.360232248
0.0553009910,-0.536301196,2.736572504,8.798690796,9.230027506
0.0572846340,-0.464475125,2.671929121,8.678980827,9.092835123
0.0592377590,-0.435744703,2.633621931,8.616731644,9.020748425
0.0612214020,-0.414196909,2.533065319,8.508993149,8.887684929
0.0631745270,-0.464475125,2.413355350,8.422801971,8.774030672
0.0651886870,-0.608127236,2.293645144,8.384494781,8.713803964
0.0671418120,-0.794874966,2.164358377,8.389283180,8.700364686
0.0691254540,-0.955286503,2.032677174,8.403648376,8.698600740
